ticker,signal,lag,correlation,n_obs
AAPL,wikipedia_views,-3,-0.0438,57
AAPL,wikipedia_views,-2,-0.0004,58
AAPL,wikipedia_views,-1,-0.0101,59
AAPL,wikipedia_views,0,-0.163,60
AAPL,wikipedia_views,1,-0.0376,59
AAPL,wikipedia_views,2,-0.0442,58
AAPL,wikipedia_views,3,-0.1177,57
AAPL,google_trends,-3,0.2432,57
AAPL,google_trends,-2,0.2047,58
AAPL,google_trends,-1,0.1335,59
AAPL,google_trends,0,0.1132,60
AAPL,google_trends,1,-0.0351,59
AAPL,google_trends,2,0.0479,58
AAPL,google_trends,3,0.0518,57
NVDA,wikipedia_views,-3,-0.0522,57
NVDA,wikipedia_views,-2,-0.0236,58
NVDA,wikipedia_views,-1,0.051,59
NVDA,wikipedia_views,0,-0.1048,60
NVDA,wikipedia_views,1,-0.2799,59
NVDA,wikipedia_views,2,-0.3697,58
NVDA,wikipedia_views,3,-0.2719,57
NVDA,google_trends,-3,-0.0989,57
NVDA,google_trends,-2,-0.013,58
NVDA,google_trends,-1,-0.0135,59
NVDA,google_trends,0,0.0653,60
NVDA,google_trends,1,-0.2272,59
NVDA,google_trends,2,-0.34,58
NVDA,google_trends,3,-0.252,57
TSLA,wikipedia_views,-3,-0.141,57
TSLA,wikipedia_views,-2,-0.1419,58
TSLA,wikipedia_views,-1,0.023,59
TSLA,wikipedia_views,0,0.2524,60
TSLA,wikipedia_views,1,-0.1657,59
TSLA,wikipedia_views,2,-0.0731,58
TSLA,wikipedia_views,3,-0.1382,57
TSLA,google_trends,-3,0.1311,57
TSLA,google_trends,-2,0.2247,58
TSLA,google_trends,-1,-0.1315,59
TSLA,google_trends,0,0.1358,60
TSLA,google_trends,1,-0.0621,59
TSLA,google_trends,2,-0.1625,58
TSLA,google_trends,3,-0.1068,57
GME,wikipedia_views,-3,-0.106,57
GME,wikipedia_views,-2,-0.0405,58
GME,wikipedia_views,-1,-0.1334,59
GME,wikipedia_views,0,-0.2903,60
GME,wikipedia_views,1,-0.0402,59
GME,wikipedia_views,2,-0.1717,58
