earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-30,1.89,,,107501000000.0,112168000000.0,109010939580.0,37
2026-04-30,1.94,2.01,3.46,,,,-54
2026-01-29,2.67,2.84,6.25,,,,-145
2025-10-30,1.77,1.85,4.52,,,,-236
2025-07-31,1.43,1.57,9.48,,,,-327
2025-05-01,1.62,1.65,1.69,,,,-418
2025-01-30,2.35,2.4,2.26,,,,-509
2024-10-31,0.95,0.97,2.48,,,,-600
2024-08-01,1.34,1.4,4.36,,,,-691
2024-05-02,1.51,1.53,1.46,,,,-782
2024-02-01,2.1,2.18,3.66,,,,-873
2023-11-02,1.39,1.46,4.82,,,,-964
2023-08-03,1.19,1.26,5.66,,,,-1055
2023-05-04,1.43,1.52,6.28,,,,-1146
2023-02-02,1.95,1.88,-3.78,,,,-1237
2022-10-27,1.27,1.29,1.44,,,,-1335
2022-07-28,1.15,1.2,3.93,,,,-1426
2022-04-28,1.43,1.52,6.48,,,,-1517
2022-01-27,1.89,2.1,11.2,,,,-1608
2021-10-28,1.24,1.24,0.17,,,,-1699
2021-07-27,1.01,1.3,28.18,,,,-1792
2021-04-28,0.98,1.4,42.16,,,,-1882
2021-01-27,1.42,1.68,18.67,,,,-1973
2020-10-29,0.7,0.73,4.48,,,,-2063
2020-07-30,0.52,0.65,24.47,,,,-2154
