earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-05,1.25,,,3438000000.0,3615000000.0,3570952140.0,42
2026-05-07,0.3,0.26,-14.13,,,,-48
2026-02-12,0.66,0.56,-15.65,,,,-132
2025-11-06,2.32,2.21,-4.76,,,,-230
2025-08-06,0.94,1.03,9.41,,,,-322
2025-05-01,0.24,0.24,,,,,-419
2025-02-13,0.58,0.73,25.14,,,,-496
2024-11-07,2.13,2.13,-0.23,,,,-594
2024-08-06,0.91,0.86,-5.66,,,,-687
2024-05-08,0.23,0.41,77.09,,,,-777
2024-02-13,0.7,-0.55,-178.56,,,,-862
2023-11-01,2.1,6.63,215.68,,,,-966
2023-08-03,0.78,0.98,26.19,,,,-1056
2023-05-09,0.15,0.18,16.86,,,,-1142
2023-02-14,0.27,0.48,79.76,,,,-1226
2022-11-01,1.5,1.79,19.42,,,,-1331
2022-08-02,0.43,0.56,30.53,,,,-1422
2022-05-03,-0.3,-0.03,89.99,,,,-1513
2022-02-15,-0.03,0.08,416.84,,,,-1590
2021-11-04,0.83,1.23,48.83,,,,-1693
2021-08-12,-0.27,-0.11,59.16,,,,-1777
2021-05-14,-1.16,-1.95,-67.99,,,,-1867
2021-02-26,-2.78,-10.81,-288.43,,,,-1944
