earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-10,-0.06,,,,,,45
2026-05-05,-0.34,-0.36,-6.93,1346000000.0,1513100000.0,1447046230.0,-52
2026-02-23,-0.25,-0.18,28.0,,,,-123
2025-11-05,-0.21,-0.21,,,,,-233
2025-08-11,-0.08,,100.0,,,,-319
2025-05-07,-0.61,-0.58,4.4,,,,-415
2025-02-25,-0.16,-0.18,-10.21,,,,-486
2024-11-06,-0.07,-0.04,42.86,,,,-597
2024-08-02,-0.36,-0.43,-18.62,,,,-693
2024-05-08,-0.77,-0.62,19.58,,,,-779
2024-02-28,-0.65,-0.54,17.35,,,,-849
2023-11-08,-0.25,-0.09,64.47,,,,-961
2023-08-08,-0.37,0.09,123.53,,,,-1053
2023-05-05,-1.57,-1.5,4.23,,,,-1148
2023-02-28,-1.92,-1.24,35.63,,,,-1214
2022-11-08,-2.16,-1.76,18.37,,,,-1326
2022-08-04,-2.01,-1.76,12.37,,,,-1422
2022-05-09,-5.9,-5.74,2.85,,,,-1509
2022-03-01,-2.23,-0.97,56.55,,,,-1578
2021-11-08,-4.8,-3.88,19.13,,,,-1691
2021-08-09,-8.43,-6.26,25.66,,,,-1782
2021-05-06,-12.56,-12.53,0.21,,,,-1877
2021-03-10,-27.53,-27.79,-0.98,,,,-1934
2020-11-02,-41.58,-50.29,-20.96,,,,-2062
2020-08-06,-37.04,-47.32,-27.73,,,,-2150
