earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-28,-0.27,,,21805000000.0,25638000000.0,24010644540.0,32
2026-04-22,-0.67,-0.2,70.26,,,,-65
2026-01-27,-0.41,9.92,2525.31,,,,-150
2025-10-29,-2.38,-7.47,-214.44,,,,-240
2025-07-29,-1.27,-1.24,2.35,,,,-332
2025-04-23,-1.3,-0.49,62.39,,,,-429
2025-01-28,-3.78,-5.9,-56.1,,,,-514
2024-10-23,-8.72,-10.44,-19.66,,,,-611
2024-07-31,-2.01,-2.9,-44.2,,,,-695
2024-04-24,-1.52,-1.13,25.63,,,,-793
2024-01-31,-0.79,-0.47,40.28,,,,-877
2023-10-25,-2.61,-3.26,-25.01,,,,-975
2023-07-26,-0.89,-0.82,8.24,,,,-1066
2023-04-26,-1.05,-1.27,-20.87,,,,-1157
2023-01-25,0.2,-1.75,-961.26,,,,-1248
2022-10-26,0.09,-6.18,-7213.26,,,,-1339
2022-07-27,-0.11,-0.37,-246.34,,,,-1430
2022-04-27,-0.25,-2.75,-995.84,,,,-1521
2022-01-26,-0.16,-7.69,-4731.92,,,,-1612
2021-10-27,-0.15,-0.6,-299.02,,,,-1703
2021-07-28,-0.73,0.4,154.9,,,,-1794
2021-04-28,-1.09,-1.53,-41.01,,,,-1885
2021-01-27,-1.65,-15.25,-825.97,,,,-1976
2020-10-28,-2.21,-1.39,37.14,,,,-2067
2020-07-29,-2.53,-4.79,-89.6,,,,-2158
