earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-09-02,0.33,,,3333600000.0,3368476470.0,3350126540.0,68
2026-06-10,0.43,0.43,0.79,,,,-16
2026-03-25,0.28,0.27,-3.09,,,,-93
2025-12-10,0.3,0.32,5.39,,,,-198
2025-09-10,0.33,0.33,-0.49,,,,-289
2025-06-11,0.34,0.35,3.32,,,,-380
2025-03-26,0.2,0.28,36.86,,,,-457
2024-12-04,0.23,0.2,-12.19,,,,-569
2024-08-28,0.21,0.24,13.62,,,,-667
2024-05-29,0.2,0.31,55.23,,,,-758
2024-03-20,0.09,0.18,102.95,,,,-828
2023-12-06,0.09,0.15,60.5,,,,-933
2023-08-30,0.09,0.15,58.8,,,,-1031
2023-05-31,0.08,0.2,148.26,,,,-1122
2023-03-22,-0.1,0.05,150.11,,,,-1192
2022-12-08,-0.06,0.01,112.37,,,,-1296
2022-08-30,-0.11,0.05,146.89,,,,-1396
2022-06-01,-0.13,0.05,135.66,,,,-1486
2022-03-29,-0.08,-0.15,-88.87,,,,-1550
2021-12-09,-0.03,-0.07,-148.0,,,,-1660
2021-09-01,-0.01,-0.04,-208.71,,,,-1759
2021-06-10,-0.01,0.09,790.3,,,,-1842
2021-03-30,-0.08,0.05,164.74,,,,-1914
2020-12-08,-0.13,-0.08,38.1,,,,-2026
2020-09-10,-0.16,-0.08,50.32,,,,-2115
