earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-30,0.1,,,1238872000.0,1506600000.0,1354057030.0,34
2026-05-07,0.04,-1.49,-3458.88,,,,-50
2026-02-12,0.94,-2.49,-364.89,,,,-134
2025-10-30,1.13,1.5,32.31,,,,-239
2025-07-31,1.49,5.14,245.59,,,,-330
2025-05-08,1.9,0.24,-87.38,,,,-414
2025-02-13,2.04,4.68,128.96,,,,-498
2024-10-30,0.42,0.28,-33.33,,,,-604
2024-08-01,0.8,0.14,-82.45,,,,-694
2024-05-02,1.27,4.4,245.1,,,,-785
2024-02-15,0.2,1.04,420.0,,,,-862
2023-11-02,-0.53,-0.01,98.13,,,,-967
2023-08-03,-0.76,-0.42,44.98,,,,-1058
2023-05-04,-1.76,-0.34,80.68,,,,-1149
2023-02-21,-1.41,-2.65,-88.88,,,,-1221
2022-11-03,-1.47,-2.15,-45.79,,,,-1331
2022-08-09,-1.23,-2.43,-96.6,,,,-1417
2022-05-10,0.91,-1.25,-237.69,,,,-1508
2022-02-24,2.25,3.35,48.53,,,,-1583
2021-11-09,1.72,1.85,7.6,,,,-1690
2021-08-10,2.69,6.78,152.23,,,,-1781
2021-05-13,3.2,3.05,-4.51,,,,-1870
