earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-31,5.23,,,52782000000.0,88186382660.0,63525966030.0,37
2026-05-01,0.97,1.41,45.56,,,,-54
2026-01-30,1.44,1.52,5.2,,,,-145
2025-10-31,1.71,1.85,8.39,,,,-236
2025-08-01,1.74,1.77,1.71,,,,-327
2025-05-02,2.15,2.18,1.31,,,,-418
2025-01-31,2.11,2.06,-2.28,,,,-509
2024-11-01,2.42,2.51,3.86,,,,-600
2024-08-02,3.0,2.55,-14.9,,,,-691
2024-04-26,2.91,2.93,0.59,,,,-789
2024-02-02,3.22,3.45,7.26,,,,-873
2023-10-27,3.68,3.05,-17.07,,,,-971
2023-07-23,2.98,3.08,3.52,,,,-1067
2023-04-28,3.38,3.55,5.06,,,,-1153
2023-01-27,4.3,4.09,-4.82,,,,-1244
2022-10-28,4.92,5.56,13.09,,,,-1335
2022-07-29,5.03,5.82,15.68,,,,-1426
2022-04-29,3.45,3.36,-2.68,,,,-1517
2022-01-28,3.12,2.56,-18.04,,,,-1608
2021-10-29,2.19,2.96,35.04,,,,-1699
2021-07-30,1.6,1.71,6.57,,,,-1790
2021-04-30,0.94,0.9,-4.57,,,,-1881
2021-01-29,0.09,-0.01,-111.36,,,,-1972
2020-10-30,-0.27,0.11,141.06,,,,-2063
2020-07-31,-0.92,-1.59,-73.22,,,,-2154
