earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-05,1.87,,,25122000000.0,25950000000.0,25468324850.0,42
2026-05-06,1.5,1.57,4.98,,,,-49
2026-02-02,1.58,1.63,3.44,,,,-142
2025-11-13,1.02,1.11,8.42,,,,-223
2025-08-06,1.45,1.61,11.3,,,,-322
2025-05-07,1.21,1.45,19.79,,,,-413
2025-02-05,1.43,1.76,22.94,,,,-504
2024-11-14,1.11,1.14,2.75,,,,-587
2024-08-07,1.19,1.39,16.38,,,,-686
2024-05-07,1.1,1.21,9.8,,,,-778
2024-02-07,1.03,1.22,18.24,,,,-868
2023-11-08,0.71,0.82,15.11,,,,-959
2023-08-09,0.98,1.04,6.77,,,,-1050
2023-05-10,0.94,0.93,-0.91,,,,-1141
2023-02-08,0.79,0.99,25.97,,,,-1232
2022-11-08,0.56,0.3,-46.87,,,,-1324
2022-08-10,0.99,1.09,9.99,,,,-1414
2022-05-11,1.19,1.08,-9.15,,,,-1505
2022-02-09,0.62,1.06,71.97,,,,-1596
2021-11-10,0.5,0.38,-23.41,,,,-1687
2021-08-12,0.55,0.8,45.48,,,,-1777
2021-05-13,0.26,0.79,204.08,,,,-1868
2021-02-11,-0.34,0.32,194.77,,,,-1959
2020-11-12,-0.65,-0.2,69.3,,,,-2050
2020-08-04,-0.67,0.08,111.92,,,,-2150
