earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-29,0.34,,,43364000000.0,46936411130.0,45210906390.0,33
2026-04-29,0.19,0.66,256.64,,,,-58
2026-02-10,0.19,0.13,-32.87,,,,-136
2025-10-23,0.36,0.45,25.41,,,,-246
2025-07-30,0.33,0.37,11.11,,,,-331
2025-05-05,0.02,0.14,556.97,,,,-417
2025-02-05,0.32,0.39,20.36,,,,-506
2024-10-28,0.47,0.49,3.47,,,,-606
2024-07-24,0.68,0.47,-31.27,,,,-702
2024-04-24,0.44,0.49,12.16,,,,-793
2024-02-06,0.12,0.29,137.7,,,,-871
2023-10-26,0.46,0.39,-14.46,,,,-974
2023-07-27,0.54,0.72,33.71,,,,-1065
2023-05-02,0.41,0.63,55.22,,,,-1151
2023-02-02,0.62,0.51,-17.59,,,,-1240
2022-10-26,0.3,0.3,-0.38,,,,-1339
2022-07-27,0.45,0.68,52.64,,,,-1430
2022-04-27,0.37,0.38,2.12,,,,-1521
2022-02-03,0.41,0.26,-37.28,,,,-1604
2021-10-27,0.27,0.51,86.44,,,,-1703
2021-07-28,0.03,0.13,301.85,,,,-1794
2021-04-28,0.21,0.89,321.46,,,,-1885
2021-02-04,-0.08,0.34,503.66,,,,-1968
2020-10-28,0.18,0.65,261.94,,,,-2067
2020-07-30,-1.16,-0.35,69.88,,,,-2157
