earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-09-08,0.16,,,,,,74
2026-06-02,0.16,0.3,87.5,,,,-24
2025-12-09,0.2,0.24,20.0,,,,-199
2025-09-09,0.16,0.25,61.29,,,,-290
2025-06-10,0.04,0.17,325.0,,,,-381
2025-03-25,0.08,0.3,275.0,,,,-458
2024-12-10,-0.03,0.06,300.0,,,,-563
2024-09-10,-0.08,0.01,111.76,,,,-654
2024-06-07,-0.09,-0.12,-33.33,,,,-749
2024-03-26,0.3,0.22,-25.42,,,,-822
2023-12-06,-0.08,,100.0,,,,-933
2023-09-06,-0.14,-0.03,78.57,,,,-1024
2023-06-07,-0.12,-0.14,-16.67,,,,-1115
2023-03-21,-0.13,0.16,220.0,,,,-1193
2022-12-07,-0.28,-0.31,-12.05,,,,-1297
2022-09-07,-0.41,-0.35,15.66,,,,-1388
2022-06-01,-0.3,-0.52,-71.19,,,,-1486
2022-03-17,0.21,-0.46,-322.08,,,,-1562
2021-12-08,-0.13,-0.35,-168.59,,,,-1661
2021-09-08,-0.17,-0.19,-14.29,,,,-1752
2021-06-09,-0.21,-0.11,46.11,,,,-1843
2021-03-23,0.36,0.34,-5.82,,,,-1921
2020-12-08,-0.21,-0.13,37.56,,,,-2026
2020-09-09,-0.28,-0.35,-23.35,,,,-2116
2020-06-09,-0.42,-0.4,4.64,,,,-2208
