earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-23,2.88,,,113623000000.0,120126000000.0,116678355480.0,27
2026-04-29,2.63,5.11,94.3,,,,-58
2026-02-04,2.64,2.82,7.01,,,,-142
2025-10-29,2.26,2.87,26.88,,,,-240
2025-07-23,2.19,2.31,5.67,,,,-338
2025-04-24,2.01,2.81,39.84,,,,-428
2025-02-04,2.13,2.15,1.18,,,,-507
2024-10-29,1.85,2.12,14.83,,,,-605
2024-07-23,1.84,1.89,2.54,,,,-703
2024-04-25,1.51,1.89,25.58,,,,-792
2024-01-30,1.6,1.64,2.75,,,,-878
2023-10-24,1.45,1.55,7.05,,,,-976
2023-07-25,1.34,1.44,7.29,,,,-1067
2023-04-25,1.07,1.17,9.45,,,,-1158
2023-02-02,1.2,1.05,-12.33,,,,-1240
2022-10-25,1.26,1.06,-16.01,,,,-1340
2022-07-26,1.29,1.21,-6.05,,,,-1431
2022-04-26,1.28,1.23,-3.67,,,,-1522
2022-02-01,1.36,1.53,12.65,,,,-1606
2021-10-26,1.16,1.4,20.44,,,,-1704
2021-07-27,0.96,1.36,42.7,,,,-1795
2021-04-27,0.78,1.31,67.76,,,,-1886
2021-02-02,0.8,1.12,39.28,,,,-1970
2020-10-29,0.56,0.82,46.24,,,,-2066
2020-07-30,0.41,0.51,23.4,,,,-2157
