earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-29,0.41,,,1097000000.0,1305500000.0,1197488860.0,35
2026-04-28,0.43,0.47,8.63,,,,-57
2026-02-10,0.68,0.73,6.26,,,,-134
2025-11-05,0.54,0.61,12.07,,,,-231
2025-07-30,0.31,0.42,35.99,,,,-329
2025-04-30,0.37,0.44,19.78,,,,-420
2025-02-12,0.52,1.04,99.1,,,,-497
2024-10-30,0.26,0.26,0.38,,,,-602
2024-08-07,0.26,0.3,15.99,,,,-686
2024-05-08,0.06,0.18,224.62,,,,-777
2024-02-13,0.07,0.13,72.19,,,,-862
2023-11-07,0.12,0.11,-6.17,,,,-960
2023-08-02,0.12,0.15,21.21,,,,-1057
2023-05-10,0.08,0.1,21.25,,,,-1141
2023-02-08,-0.08,-0.13,-50.44,,,,-1232
2022-11-02,-0.31,-0.2,35.36,,,,-1330
2022-08-02,-0.33,-0.31,6.24,,,,-1422
2022-04-28,-0.35,-0.45,-26.82,,,,-1518
2022-01-27,-0.44,-0.49,-10.2,,,,-1609
2021-10-26,0.1,-0.07,-177.0,,,,-1702
2021-08-18,-0.26,0.18,170.42,,,,-1771
