earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-05,-0.6,,,65600000.0,68000000.0,66522170.0,40
2026-05-06,-0.24,-0.34,-38.93,,,,-51
2026-02-25,-0.47,1.93,508.47,,,,-121
2025-11-05,-0.19,-0.17,10.53,,,,-233
2025-08-06,-0.14,-0.14,-2.86,,,,-324
2025-05-07,-0.14,-0.16,-13.03,,,,-415
2025-02-26,-0.25,-0.93,-272.0,,,,-485
2024-11-06,-0.23,-0.24,-5.88,,,,-597
2024-08-07,-0.22,-0.18,18.18,,,,-688
2024-05-08,-0.25,-0.19,24.0,,,,-779
2024-02-28,-0.18,-0.2,-9.89,,,,-849
2023-11-08,-0.1,-0.18,-87.49,,,,-961
2023-08-10,-0.08,-0.14,-67.89,,,,-1051
2023-05-11,-0.09,-0.12,-31.78,,,,-1142
2023-03-30,-0.13,-0.09,30.77,,,,-1184
2022-11-14,-0.08,-0.12,-43.87,,,,-1320
2022-08-15,-0.1,-0.01,90.24,,,,-1411
2022-05-16,-0.06,-0.09,-50.17,,,,-1502
2022-03-28,-0.1,-0.06,44.0,,,,-1551
2021-11-15,-0.08,-0.09,-9.05,,,,-1684
