earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-14,5.41,,,47419000000.0,53473000000.0,49130127390.0,18
2026-04-14,5.51,5.94,7.78,,,,-73
2026-01-13,4.82,4.63,-3.91,,,,-164
2025-10-14,4.87,5.07,4.01,,,,-255
2025-07-15,4.48,4.96,10.62,,,,-346
2025-04-11,4.64,5.07,9.15,,,,-441
2025-01-15,4.04,4.81,19.18,,,,-527
2024-10-11,3.99,4.37,9.63,,,,-623
2024-07-12,5.09,6.12,20.16,,,,-714
2024-04-12,4.13,4.44,7.4,,,,-805
2024-01-12,3.6,3.04,-15.65,,,,-896
2023-10-13,3.97,4.33,9.01,,,,-987
2023-07-14,3.76,4.75,26.46,,,,-1078
2023-04-14,3.37,4.1,21.69,,,,-1169
2023-01-13,3.1,3.57,15.04,,,,-1260
2022-10-14,2.85,3.12,9.44,,,,-1351
2022-07-14,2.9,2.76,-4.76,,,,-1443
2022-04-13,2.71,2.63,-2.85,,,,-1535
2022-01-14,3.03,3.33,9.73,,,,-1624
2021-10-13,3.0,3.55,18.31,,,,-1717
2021-07-13,3.17,3.78,19.08,,,,-1809
2021-04-14,3.06,4.59,49.98,,,,-1899
2021-01-15,2.65,3.07,15.81,,,,-1988
2020-10-13,2.24,3.09,38.23,,,,-2082
2020-07-14,1.21,1.08,-10.44,,,,-2173
