earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-04,-2.38,,,336750000.0,510000000.0,425403750.0,39
2026-05-05,-2.3,-2.82,-22.79,,,,-52
2026-02-24,-2.67,-3.08,-15.18,,,,-122
2025-11-05,-2.2,-2.65,-20.56,,,,-233
2025-08-05,-2.17,-2.4,-10.77,,,,-325
2025-05-06,-2.33,-2.0,14.11,,,,-416
2025-02-25,-2.85,-2.2,22.81,,,,-486
2024-11-07,-3.1,-2.8,9.68,,,,-596
2024-08-05,-2.7,-3.1,-14.71,,,,-690
2024-05-06,-2.46,-3.01,-22.4,,,,-781
2024-02-21,-3.17,-2.99,5.61,,,,-856
2023-11-07,-3.75,-2.49,33.53,,,,-962
2023-08-07,-3.27,-4.21,-28.55,,,,-1054
2023-05-08,-4.07,-3.91,3.84,,,,-1145
2023-02-22,-4.04,-4.25,-5.26,,,,-1220
2022-11-08,-3.13,-4.0,-27.63,,,,-1326
2022-08-03,-3.15,-3.33,-5.75,,,,-1423
2022-05-05,-2.87,-3.65,-27.18,,,,-1513
2022-02-28,-2.99,-2.98,0.42,,,,-1579
2021-11-15,-2.54,-4.08,-60.7,,,,-1684
