earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-21,7.23,,,19004000000.0,19857000000.0,19358806520.0,25
2026-04-23,6.69,6.44,-3.78,,,,-64
2026-01-29,5.75,5.8,0.94,,,,-148
2025-10-21,6.36,6.95,9.31,,,,-248
2025-07-22,6.42,1.46,-77.27,,,,-339
2025-04-22,6.35,7.28,14.69,,,,-430
2025-01-28,6.6,2.22,-66.39,,,,-514
2024-10-22,6.48,6.8,5.0,,,,-612
2024-07-23,6.45,7.11,10.28,,,,-703
2024-04-23,5.85,6.39,9.29,,,,-794
2024-01-23,7.25,7.58,4.51,,,,-885
2023-10-17,6.65,6.73,1.17,,,,-983
2023-07-18,6.45,6.73,4.4,,,,-1074
2023-04-18,6.04,6.61,9.4,,,,-1165
2023-01-24,7.37,7.79,5.72,,,,-1249
2022-10-18,6.72,6.87,2.2,,,,-1347
2022-07-19,6.39,6.32,-1.13,,,,-1438
2022-04-19,6.17,6.44,4.36,,,,-1529
2022-01-25,7.14,7.24,1.38,,,,-1613
2021-10-26,1.99,2.21,11.27,,,,-1704
2021-07-26,6.53,6.52,-0.17,,,,-1796
2021-04-20,6.31,6.56,3.94,,,,-1893
2021-01-26,6.41,6.38,-0.44,,,,-1977
2020-10-20,6.09,6.05,-0.59,,,,-2075
2020-07-21,5.71,5.79,1.42,,,,-2166
