earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-29,7.2,,,59132000000.0,62812000000.0,60209152310.0,35
2026-04-29,6.82,7.31,7.2,,,,-56
2026-01-28,8.22,8.88,8.0,,,,-147
2025-10-29,6.67,7.25,8.66,,,,-238
2025-07-30,5.86,7.14,21.82,,,,-329
2025-04-30,5.21,6.43,23.53,,,,-420
2025-01-29,6.74,8.02,19.0,,,,-511
2024-10-30,5.3,6.03,13.86,,,,-602
2024-07-31,4.76,5.16,8.45,,,,-693
2024-04-24,4.36,4.71,8.11,,,,-791
2024-02-01,4.94,5.33,7.88,,,,-874
2023-10-25,3.6,4.39,21.96,,,,-973
2023-07-26,2.91,2.98,2.51,,,,-1064
2023-04-26,1.98,2.2,11.2,,,,-1155
2023-02-01,2.24,1.76,-21.53,,,,-1239
2022-10-26,1.85,1.64,-11.32,,,,-1337
2022-07-27,2.55,2.46,-3.56,,,,-1428
2022-04-27,2.53,2.72,7.57,,,,-1519
2022-02-02,3.83,3.67,-4.06,,,,-1603
2021-10-25,3.17,3.22,1.52,,,,-1703
2021-07-28,3.06,3.61,17.94,,,,-1792
2021-04-28,2.35,3.3,40.65,,,,-1883
2021-01-27,3.24,3.88,19.91,,,,-1974
2020-10-29,1.91,2.4,25.57,,,,-2064
2020-07-30,1.4,1.8,28.88,,,,-2155
