earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-29,4.24,,,86900000000.0,91239000000.0,87655525250.0,33
2026-04-29,4.06,4.27,5.22,,,,-58
2026-01-28,3.92,4.14,5.69,,,,-149
2025-10-29,3.66,4.13,12.73,,,,-240
2025-07-30,3.38,3.65,8.09,,,,-331
2025-04-30,3.22,3.46,7.4,,,,-422
2025-01-29,3.12,3.23,3.47,,,,-513
2024-10-30,3.11,3.3,6.13,,,,-604
2024-07-30,2.94,2.95,0.23,,,,-696
2024-04-25,2.84,2.94,3.4,,,,-792
2024-01-30,2.77,2.93,5.83,,,,-878
2023-10-24,2.65,2.99,12.85,,,,-976
2023-07-25,2.55,2.69,5.59,,,,-1067
2023-04-25,2.23,2.45,9.77,,,,-1158
2023-01-24,2.32,2.32,0.21,,,,-1249
2022-10-25,2.31,2.35,1.92,,,,-1340
2022-07-26,2.29,2.23,-2.69,,,,-1431
2022-04-26,2.2,2.22,1.06,,,,-1522
2022-01-25,2.32,2.48,6.97,,,,-1613
2021-10-26,2.08,2.27,9.3,,,,-1704
2021-07-27,1.93,2.17,12.71,,,,-1795
2021-04-27,1.78,1.95,9.67,,,,-1886
2021-01-26,1.64,2.03,23.99,,,,-1977
2020-10-27,1.55,1.82,17.72,,,,-2068
2020-07-22,1.37,1.46,6.42,,,,-2165
