earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-30,20.94,,,120089000.0,129900000.0,124483820.0,36
2026-05-05,-15.33,-38.25,-149.58,,,,-50
2026-02-05,-20.99,-42.93,-104.53,,,,-139
2025-10-30,9.67,8.42,-12.95,,,,-237
2025-07-31,21.48,32.52,51.4,,,,-328
2025-05-01,-0.02,-16.53,-70752.98,,,,-419
2025-02-05,0.06,-3.2,-5433.33,,,,-504
2024-10-30,-0.02,-1.56,-9354.55,,,,-602
2024-08-01,-0.02,-0.76,-3444.19,,,,-692
2024-04-29,-0.08,-0.31,-306.58,,,,-786
2024-02-06,0.02,0.56,2534.79,,,,-869
2023-11-01,-0.06,-1.01,-1670.18,,,,-966
2023-08-01,-0.05,0.15,392.31,,,,-1058
2023-05-01,-0.13,3.18,2564.34,,,,-1150
2023-02-02,0.1,-2.05,-2185.83,,,,-1238
2022-11-01,0.1,-0.1,-194.12,,,,-1331
2022-08-02,-0.08,-9.28,-10883.43,,,,-1422
2022-05-03,-0.21,-1.04,-397.37,,,,-1513
2022-02-01,0.15,-0.01,-105.93,,,,-1604
2021-10-28,0.06,-0.36,-733.33,,,,-1700
2021-07-29,0.1,0.17,71.14,,,,-1791
2021-04-29,0.05,0.15,218.64,,,,-1882
2021-01-28,0.16,0.03,-83.29,,,,-1973
2020-10-27,0.04,-0.15,-477.36,,,,-2066
2020-07-28,0.04,0.04,-12.5,,,,-2157
