earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-16,0.79,,,12423000000.0,12761000000.0,12580988660.0,22
2026-04-16,1.32,1.23,-6.93,,,,-69
2026-01-20,0.55,0.56,1.43,,,,-155
2025-10-21,0.7,0.59,-15.79,,,,-246
2025-07-17,0.71,0.72,1.95,,,,-342
2025-04-17,0.57,0.66,16.37,,,,-433
2025-01-21,0.42,0.43,1.78,,,,-519
2024-10-17,0.51,0.54,5.32,,,,-615
2024-07-18,0.48,0.49,2.47,,,,-706
2024-04-18,0.45,0.53,16.66,,,,-797
2024-01-23,0.22,0.21,-4.8,,,,-883
2023-10-18,0.35,0.37,6.74,,,,-980
2023-07-19,0.29,0.33,15.36,,,,-1071
2023-04-18,0.29,0.29,0.46,,,,-1163
2023-01-19,0.05,0.01,-75.18,,,,-1252
2022-10-18,0.21,0.31,45.21,,,,-1345
2022-07-19,0.29,0.32,8.75,,,,-1436
2022-04-19,0.29,0.35,20.97,,,,-1527
2022-01-20,0.08,0.13,61.49,,,,-1616
2021-10-19,0.26,0.32,24.49,,,,-1709
2021-07-20,0.32,0.3,-5.91,,,,-1800
2021-04-20,0.3,0.38,25.48,,,,-1891
2021-01-19,0.14,0.12,-15.07,,,,-1982
2020-10-20,0.21,0.17,-18.71,,,,-2073
2020-07-16,0.18,0.16,-13.13,,,,-2169
