earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-06-30,0.12,,,10742000000.0,11021200000.0,10851742890.0,4
2026-03-31,0.28,0.35,24.31,,,,-87
2025-12-18,0.38,0.53,41.33,,,,-190
2025-09-30,0.27,0.49,81.32,,,,-269
2025-06-26,0.12,0.14,14.18,,,,-365
2025-03-20,0.29,0.54,85.52,,,,-463
2024-12-19,0.63,0.78,23.3,,,,-554
2024-10-01,0.52,0.7,34.9,,,,-633
2024-06-27,0.83,0.99,19.3,,,,-729
2024-03-21,0.76,0.98,29.73,,,,-827
2023-12-21,0.85,1.03,20.98,,,,-918
2023-09-28,0.76,0.94,24.06,,,,-1002
2023-06-29,0.68,0.66,-2.29,,,,-1093
2023-03-21,0.54,0.79,46.31,,,,-1193
2022-12-20,0.66,0.85,29.23,,,,-1284
2022-09-29,0.92,0.93,0.96,,,,-1366
2022-06-27,0.81,0.9,10.99,,,,-1460
2022-03-21,0.72,0.87,21.41,,,,-1558
2021-12-20,0.63,0.83,31.97,,,,-1649
2021-09-23,1.12,1.16,3.3,,,,-1737
2021-06-24,0.51,0.93,83.69,,,,-1828
2021-03-18,0.75,0.9,19.67,,,,-1926
2020-12-18,0.62,0.78,25.29,,,,-2016
2020-09-22,0.48,0.95,95.91,,,,-2103
2020-06-25,0.04,-0.51,-1290.2,,,,-2192
