earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-26,2.08,,,90302000000.0,96655000000.0,91728642100.0,61
2026-05-20,1.77,1.87,5.54,,,,-37
2026-02-25,1.54,1.62,5.32,,,,-121
2025-11-19,1.26,1.3,3.46,,,,-219
2025-08-27,1.01,1.05,4.1,,,,-303
2025-05-28,0.75,0.81,8.02,,,,-394
2025-02-26,0.85,0.89,5.25,,,,-485
2024-11-20,0.75,0.81,8.52,,,,-583
2024-08-28,0.64,0.68,5.66,,,,-667
2024-05-22,0.56,0.61,9.74,,,,-765
2024-02-21,0.46,0.52,11.4,,,,-856
2023-11-21,0.34,0.4,18.73,,,,-948
2023-08-23,0.21,0.27,29.35,,,,-1038
2023-05-24,0.09,0.11,18.8,,,,-1129
2023-02-22,0.08,0.09,9.45,,,,-1220
2022-11-16,0.07,0.06,-17.32,,,,-1318
2022-08-24,0.05,0.05,-1.49,,,,-1402
2022-05-25,0.13,0.14,4.86,,,,-1493
2022-02-16,0.12,0.13,7.97,,,,-1591
2021-11-17,0.11,0.12,5.81,,,,-1682
2021-08-18,0.1,0.1,2.26,,,,-1773
2021-05-26,0.08,0.09,11.44,,,,-1857
2021-02-24,0.07,0.08,10.37,,,,-1948
2020-11-18,0.06,0.07,14.21,,,,-2046
2020-08-19,0.05,0.05,10.66,,,,-2137
