earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-04,0.68,,,13971651350.0,14691652000.0,14411987710.0,39
2026-05-05,0.72,0.75,3.93,,,,-52
2026-02-03,0.57,0.66,16.18,,,,-143
2025-11-04,0.63,0.87,37.43,,,,-234
2025-08-05,0.57,0.78,35.94,,,,-325
2025-04-29,0.67,0.92,36.49,,,,-423
2025-02-04,0.46,0.63,37.2,,,,-507
2024-10-29,0.61,1.06,73.28,,,,-605
2024-07-30,0.46,0.6,30.19,,,,-696
2024-05-01,0.51,0.82,60.11,,,,-786
2024-01-30,-0.18,0.1,154.7,,,,-878
2023-10-31,-0.34,-0.17,49.96,,,,-969
2023-08-01,0.58,0.67,15.28,,,,-1060
2023-05-02,0.99,1.23,24.68,,,,-1151
2023-01-31,1.04,1.14,9.4,,,,-1242
2022-11-01,1.4,1.78,27.03,,,,-1333
2022-07-28,1.78,2.04,14.8,,,,-1429
2022-05-03,1.57,1.62,3.47,,,,-1515
2022-02-08,0.87,1.08,23.6,,,,-1599
2021-11-02,1.09,1.34,23.5,,,,-1697
2021-07-28,0.98,1.07,9.42,,,,-1794
2021-05-04,0.78,0.93,19.63,,,,-1879
2021-02-02,0.46,0.42,-9.65,,,,-1970
2020-10-27,0.71,0.72,0.97,,,,-2068
2020-07-28,0.66,0.78,18.13,,,,-2159
