earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-03,0.35,,,1790000000.0,1876913390.0,1810168900.0,40
2026-05-04,0.28,0.33,18.08,,,,-51
2026-02-02,0.23,0.25,8.6,,,,-142
2025-11-03,0.17,0.21,25.46,,,,-233
2025-08-04,0.14,0.16,15.57,,,,-324
2025-05-05,0.13,0.13,1.11,,,,-415
2025-02-03,0.11,0.14,23.72,,,,-506
2024-11-04,0.09,0.1,10.06,,,,-597
2024-08-05,0.08,0.09,10.55,,,,-688
2024-05-06,0.08,0.08,4.1,,,,-779
2024-02-05,0.08,0.08,5.39,,,,-870
2023-11-02,0.06,0.07,25.07,,,,-965
2023-08-07,0.05,0.05,-0.79,,,,-1052
2023-05-08,0.04,0.05,25.03,,,,-1143
2023-02-13,0.03,0.04,49.48,,,,-1227
2022-11-07,0.02,0.01,-38.61,,,,-1325
2022-08-08,0.03,-0.01,-131.7,,,,-1416
2022-05-09,0.04,0.02,-45.37,,,,-1507
2022-02-17,0.04,0.02,-44.09,,,,-1588
2021-11-09,0.04,0.04,10.16,,,,-1688
2021-08-12,0.03,0.04,16.01,,,,-1777
2021-05-11,0.04,0.04,7.87,,,,-1870
2021-02-16,0.02,0.06,128.04,,,,-1954
2020-11-12,0.03,0.06,145.25,,,,-2050
