earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-06,-0.09,,,3026000.0,6643000.0,4097600.0,41
2026-05-12,-0.08,-0.04,46.05,,,,-45
2026-02-26,-0.06,-0.09,-45.94,,,,-120
2025-11-06,-0.07,-0.05,24.53,,,,-232
2025-08-07,-0.05,-0.08,-47.36,,,,-323
2025-05-08,-0.04,-0.03,16.94,,,,-414
2025-03-13,-0.06,-0.08,-25.0,,,,-470
2024-11-14,-0.08,-0.1,-26.33,,,,-589
2024-08-08,-0.08,-0.11,-45.03,,,,-687
2024-05-13,-0.07,-0.1,-37.47,,,,-774
2024-03-28,-0.08,-0.09,-10.6,,,,-820
2023-11-09,-0.12,-0.14,-18.14,,,,-960
2023-08-10,-0.13,-0.16,-24.51,,,,-1051
2023-05-19,-0.11,-0.14,-34.51,,,,-1134
2023-04-14,-0.13,-0.12,5.96,,,,-1169
2022-11-10,-0.12,-0.11,11.68,,,,-1324
2022-08-16,-0.13,-0.12,7.69,,,,-1410
