earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-30,0.96,,,720000000.0,782799000.0,729303840.0,34
2026-04-30,1.11,1.4,26.13,,,,-57
2026-02-05,1.45,1.68,16.45,,,,-141
2025-10-30,1.05,1.26,20.73,,,,-239
2025-07-31,0.19,0.92,34.04,,,,-330
2025-05-01,0.01,0.13,870.87,,,,-421
2025-02-12,0.25,0.36,44.26,,,,-499
2024-10-29,0.41,0.59,42.87,,,,-605
2024-08-06,0.13,0.34,170.16,,,,-689
2024-05-07,-8.72,-8.19,6.05,,,,-780
