earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-12,-0.05,,,,,,49
2026-05-11,-0.04,-0.04,6.67,4500000.0,6200000.0,5131130.0,-44
2026-03-04,-0.03,-0.03,8.7,,,,-112
2025-11-10,-0.04,-0.03,25.0,,,,-226
2025-08-12,-0.04,-0.06,-41.25,,,,-316
2025-05-12,-0.04,-0.08,-89.25,,,,-408
2025-03-05,-0.06,-0.06,4.62,,,,-476
2024-11-12,-0.07,-0.09,-27.86,,,,-589
2024-08-08,-0.06,-0.09,-53.5,,,,-685
2024-05-09,-0.08,-0.11,-36.39,,,,-776
2024-03-14,-0.06,-0.04,31.5,,,,-832
2023-11-09,-0.1,-0.13,-27.31,,,,-958
2023-08-10,-0.09,-0.13,-43.61,,,,-1049
2023-05-11,-0.04,-0.17,-324.92,,,,-1140
2023-03-27,-0.12,-0.08,35.38,,,,-1185
2022-11-21,-0.11,-0.14,-27.54,,,,-1311
2022-08-12,-0.15,-0.16,-2.95,,,,-1412
