earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-04,-0.63,,,,,,39
2026-04-30,-0.6,-0.55,8.7,1303800000.0,1524000000.0,1418682190.0,-57
2026-02-12,-0.79,-0.66,16.65,,,,-134
2025-11-04,-0.86,-0.96,-11.14,,,,-234
2025-08-05,-0.64,-0.8,-25.41,,,,-325
2025-05-06,-0.92,-0.48,47.98,,,,-416
2025-02-20,-0.63,-0.47,25.78,,,,-491
2024-11-07,-0.9,-0.99,-10.78,,,,-596
2024-08-06,-1.41,-1.46,-3.8,,,,-689
2024-05-06,-1.16,-1.24,-7.06,,,,-781
2024-02-21,-1.32,-1.36,-3.39,,,,-856
2023-11-07,-1.32,-1.19,10.08,,,,-962
2023-08-08,-1.39,-1.08,22.14,,,,-1053
2023-05-09,-1.59,-1.25,21.48,,,,-1144
2023-02-28,-1.95,-1.73,11.4,,,,-1214
2022-11-09,-1.83,-1.57,14.18,,,,-1325
2022-08-11,-1.63,-1.62,0.87,,,,-1415
2022-05-11,-1.47,-1.43,2.46,,,,-1507
2022-03-10,-2.36,-4.83,-104.96,,,,-1569
2021-12-16,-6.84,-7.68,-12.37,,,,-1653
