earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-21,1.66,,,22508000000.0,23269642860.0,22855840460.0,27
2026-04-21,1.52,1.78,16.95,,,,-64
2026-01-27,1.47,1.55,5.34,,,,-148
2025-10-21,1.41,1.7,20.64,,,,-246
2025-07-22,1.43,1.56,9.47,,,,-337
2025-04-22,1.37,1.47,7.52,,,,-428
2025-01-28,1.38,1.54,11.8,,,,-512
2024-10-22,1.34,1.45,8.31,,,,-610
2024-07-25,1.3,1.41,8.61,,,,-699
2024-04-23,1.23,1.34,8.6,,,,-792
2024-01-23,1.25,1.29,3.46,,,,-883
2023-10-24,1.22,1.25,2.64,,,,-974
2023-07-25,1.18,1.29,9.73,,,,-1065
2023-04-25,1.13,1.22,7.52,,,,-1156
2023-01-24,1.25,1.27,1.83,,,,-1247
2022-10-25,1.14,1.21,6.33,,,,-1338
2022-07-26,1.11,1.16,4.16,,,,-1429
2022-04-26,1.02,1.15,13.11,,,,-1520
2022-01-25,1.02,1.08,5.72,,,,-1611
2021-10-26,1.09,1.26,16.0,,,,-1702
2021-07-27,0.93,1.03,10.91,,,,-1793
2021-04-27,0.83,0.9,8.15,,,,-1884
2021-01-26,0.69,0.74,6.82,,,,-1975
2020-10-27,0.5,0.58,15.79,,,,-2066
2020-07-28,0.12,0.4,231.51,,,,-2157
