earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-28,0.65,,,8709700000.0,9505800000.0,9097083760.0,34
2026-04-28,0.44,0.5,14.51,,,,-57
2026-01-28,0.59,0.56,-4.59,,,,-147
2025-10-29,0.56,0.52,-6.51,,,,-238
2025-07-29,0.65,0.5,-22.49,,,,-330
2025-04-29,0.48,0.41,-15.23,,,,-421
2025-01-28,0.67,0.69,3.46,,,,-512
2024-10-30,0.89,0.8,-10.61,,,,-602
2024-07-30,0.93,0.93,-0.12,,,,-694
2024-04-30,0.8,0.68,-15.19,,,,-785
2024-01-30,0.94,0.9,-4.1,,,,-876
2023-11-02,0.97,1.06,9.06,,,,-965
2023-08-01,0.95,1.0,5.09,,,,-1058
2023-05-02,0.65,0.74,13.12,,,,-1149
2023-02-02,0.77,0.75,-2.57,,,,-1238
2022-11-03,0.72,0.81,12.49,,,,-1329
2022-08-02,0.76,0.84,11.13,,,,-1422
2022-05-03,0.6,0.59,-1.02,,,,-1513
2022-02-01,0.8,0.72,-9.45,,,,-1604
2021-10-28,1.0,1.0,0.45,,,,-1700
2021-07-27,0.78,1.01,29.49,,,,-1793
2021-04-27,0.53,0.62,16.61,,,,-1884
2021-01-26,0.55,0.61,10.28,,,,-1975
2020-10-29,0.31,0.51,63.68,,,,-2064
2020-07-28,-0.61,-0.46,24.71,,,,-2157
