earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-04,-0.12,,,1345000000.0,1548800000.0,1531328220.0,39
2026-05-06,-0.07,-0.05,25.37,,,,-51
2026-02-04,0.15,0.19,22.79,,,,-142
2025-11-05,-0.12,-0.06,50.58,,,,-233
2025-08-05,-0.15,-0.16,-5.06,,,,-325
2025-04-29,-0.13,-0.08,40.32,,,,-423
2025-02-04,0.14,0.16,13.59,,,,-507
2024-10-29,0.05,0.08,55.16,,,,-605
2024-08-01,0.02,0.02,-2.2,,,,-694
2024-04-25,-0.26,-0.19,27.63,,,,-792
2024-02-06,-0.17,-0.15,12.24,,,,-871
2023-10-24,-0.24,-0.23,4.81,,,,-976
2023-07-25,-0.25,-0.24,2.41,,,,-1067
2023-04-27,-0.01,0.01,168.68,,,,-1156
2023-01-31,0.12,0.14,16.0,,,,-1242
2022-10-20,-0.01,0.08,1051.25,,,,-1345
2022-07-21,-0.21,-0.26,-26.68,,,,-1436
2022-04-21,-0.18,-0.22,-20.8,,,,-1527
2022-02-03,0.1,0.22,115.77,,,,-1604
2021-10-21,0.08,0.17,117.86,,,,-1709
2021-07-22,-0.01,0.1,920.34,,,,-1800
2021-04-22,-0.05,,100.0,,,,-1891
2021-02-04,0.07,0.09,33.97,,,,-1968
2020-10-20,-0.18,-0.14,21.23,,,,-2075
2020-07-21,-0.22,-0.23,-3.59,,,,-2166
