earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-28,0.11,,,1093793610.0,1130170000.0,1113970850.0,34
2026-04-27,0.12,0.12,-4.17,,,,-58
2026-01-30,0.11,0.12,8.66,,,,-145
2025-10-28,0.08,0.1,23.01,,,,-239
2025-07-29,0.06,0.09,44.7,,,,-330
2025-04-29,0.03,0.06,93.87,,,,-421
2025-01-27,0.04,0.05,36.35,,,,-513
2024-10-29,0.04,0.05,15.16,,,,-603
2024-07-30,0.01,0.02,60.0,,,,-694
2024-04-29,,0.03,638.0,,,,-786
2024-01-29,0.04,0.04,23.09,,,,-877
2023-10-30,-0.09,-0.03,65.39,,,,-968
2023-07-31,-0.07,-0.06,14.2,,,,-1059
2023-05-01,-0.09,-0.04,49.77,,,,-1150
2023-01-30,-0.07,-0.04,44.93,,,,-1241
2022-11-01,-0.07,-0.08,-17.46,,,,-1331
2022-08-02,-0.1,-0.11,-8.54,,,,-1422
2022-05-10,-0.13,-0.11,15.79,,,,-1506
2022-03-01,-0.12,-0.12,3.77,,,,-1576
2021-11-10,-0.13,-0.12,7.57,,,,-1687
2021-08-12,-0.05,-0.48,-772.73,,,,-1777
