earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-04,2.73,,,4700000000.0,4843200000.0,4790173870.0,39
2026-04-28,2.94,3.45,17.24,,,,-59
2026-02-10,2.78,4.43,59.38,,,,-136
2025-11-04,2.02,3.28,62.77,,,,-234
2025-07-29,1.98,-0.42,-121.21,,,,-332
2025-04-29,2.21,1.07,-51.49,,,,-423
2025-02-04,2.0,1.76,-11.89,,,,-507
2024-11-12,1.67,1.45,-12.97,,,,-591
2024-07-23,1.01,1.33,31.52,,,,-703
2024-04-23,0.63,0.97,54.88,,,,-794
2024-02-06,-0.26,-0.36,-36.31,,,,-871
2023-10-24,-0.2,0.33,262.23,,,,-976
2023-07-25,-0.57,-1.55,-171.92,,,,-1067
2023-04-25,-0.82,-1.16,-42.09,,,,-1158
2023-01-31,-1.28,-1.4,-9.43,,,,-1242
2022-10-25,-0.84,-0.86,-2.42,,,,-1340
2022-07-27,-0.64,-0.65,-2.07,,,,-1430
2022-04-27,-0.23,0.21,192.85,,,,-1521
2022-02-02,-0.36,-0.2,44.01,,,,-1605
2021-10-27,-0.17,0.01,105.91,,,,-1703
2021-07-28,-0.44,-0.1,77.1,,,,-1794
2021-04-28,-0.41,-0.25,38.41,,,,-1885
2021-02-03,-0.51,-0.66,-29.59,,,,-1969
2020-10-29,-0.43,-0.53,-22.29,,,,-2066
2020-07-29,-0.47,-1.91,-304.34,,,,-2158
