earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2024-11-07,0.89,0.88,-1.33,,,,-594
2024-08-01,0.84,0.93,11.36,,,,-692
2024-05-02,0.73,0.85,16.43,,,,-783
2024-02-22,0.57,0.45,-21.07,,,,-853
2023-11-02,0.46,0.55,18.75,,,,-965
2023-08-03,0.37,0.39,5.66,,,,-1056
2023-05-04,0.34,0.4,17.42,,,,-1147
2023-02-23,0.3,0.22,-27.01,,,,-1217
2022-11-03,0.23,0.42,83.29,,,,-1329
2022-08-04,0.16,0.18,12.25,,,,-1420
2022-05-05,0.2,0.18,-10.62,,,,-1511
2022-02-24,0.23,0.27,16.23,,,,-1581
2021-11-04,0.38,0.37,-3.04,,,,-1693
2021-08-02,0.31,0.66,113.04,,,,-1787
2021-05-06,0.16,0.41,149.85,,,,-1875
2021-02-23,0.24,0.32,33.27,,,,-1947
2020-11-05,0.16,0.34,112.74,,,,-2057
2020-08-05,-0.05,0.18,453.43,,,,-2149
2020-05-06,0.13,-0.02,-115.59,,,,-2240
2020-02-26,0.21,0.23,9.82,,,,-2310
2019-11-06,0.2,0.25,23.48,,,,-2422
2019-08-01,0.16,0.21,28.68,,,,-2519
2019-05-01,0.08,0.11,40.45,,,,-2611
2019-02-27,0.13,0.14,3.91,,,,-2674
2018-11-07,0.11,0.13,16.45,,,,-2786
