earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-19,2.03,,,25774000000.0,26273782000.0,26016429630.0,56
2026-05-20,1.46,1.71,17.31,,,,-35
2026-03-03,2.16,2.44,12.97,,,,-113
2025-11-19,1.71,1.78,4.09,,,,-217
2025-08-20,2.03,2.05,0.82,,,,-308
2025-05-21,1.65,1.3,-21.27,,,,-399
2025-03-04,2.25,2.41,7.05,,,,-477
2024-11-20,2.3,1.85,-19.56,,,,-581
2024-08-21,2.18,2.57,17.72,,,,-672
2024-05-22,2.06,2.03,-1.24,,,,-763
2024-03-05,2.41,2.98,23.52,,,,-841
2023-11-15,1.48,2.1,41.91,,,,-952
2023-08-16,1.42,1.8,26.85,,,,-1043
2023-05-17,1.79,2.05,14.69,,,,-1134
2023-02-28,1.4,1.89,35.06,,,,-1212
2022-11-16,2.18,1.54,-29.35,,,,-1316
2022-08-17,0.72,0.39,-45.47,,,,-1407
2022-05-18,3.06,2.19,-28.53,,,,-1498
2022-03-01,2.84,3.19,12.26,,,,-1576
2021-11-17,2.81,3.03,7.85,,,,-1680
2021-08-18,3.53,3.64,3.06,,,,-1771
2021-05-19,2.23,3.69,65.19,,,,-1862
2021-03-02,2.54,2.67,5.2,,,,-1940
2020-11-18,1.61,2.79,73.77,,,,-2044
2020-08-19,1.65,3.38,104.36,,,,-2135
