earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-22,0.46,,,22800000000.0,26059000000.0,24663118600.0,29
2026-04-22,0.35,0.41,17.15,,,,-62
2026-01-28,0.45,0.5,10.96,,,,-146
2025-10-22,0.56,0.5,-10.53,,,,-244
2025-07-23,0.4,0.4,-1.11,,,,-335
2025-04-22,0.41,0.27,-34.89,,,,-427
2025-01-29,0.77,0.73,-5.11,,,,-510
2024-10-23,0.6,0.72,20.49,,,,-608
2024-07-23,0.62,0.52,-16.15,,,,-700
2024-04-23,0.49,0.45,-8.14,,,,-791
2024-01-24,0.74,0.71,-4.1,,,,-881
2023-10-18,0.73,0.66,-9.81,,,,-979
2023-07-19,0.82,0.91,11.12,,,,-1070
2023-04-19,0.85,0.85,-0.43,,,,-1161
2023-01-25,1.11,1.19,7.2,,,,-1245
2022-10-19,1.0,1.05,5.23,,,,-1343
2022-07-20,0.6,0.76,26.89,,,,-1434
2022-04-20,0.75,1.07,42.31,,,,-1525
2022-01-26,0.79,0.85,6.88,,,,-1609
2021-10-20,0.54,0.62,15.22,,,,-1707
2021-07-26,0.32,0.48,49.86,,,,-1793
2021-04-26,0.26,0.31,19.42,,,,-1884
2021-01-27,0.35,0.27,-23.91,,,,-1973
2020-10-21,0.2,0.25,25.78,,,,-2071
2020-07-22,-0.01,0.15,1460.77,,,,-2162
