earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-08-05,0.83,,,13819200000.0,14954000000.0,14216354350.0,40
2026-05-06,0.71,0.13,-81.74,,,,-51
2026-02-04,0.78,0.14,-81.94,,,,-142
2025-11-04,0.69,3.11,353.17,,,,-234
2025-08-06,0.82,0.65,-19.72,,,,-324
2025-05-07,0.69,0.81,16.5,,,,-415
2025-02-05,0.48,3.21,573.42,,,,-506
2024-10-31,0.63,1.41,125.2,,,,-603
2024-08-06,0.52,0.74,41.51,,,,-689
2024-05-08,0.39,0.18,-54.55,,,,-779
2024-02-07,0.4,0.86,115.9,,,,-870
2023-11-07,0.31,0.34,9.66,,,,-962
2023-07-31,0.23,0.34,47.4,,,,-1061
2023-05-02,0.15,0.33,111.86,,,,-1151
2023-02-08,-0.16,0.29,286.66,,,,-1234
2022-11-01,0.06,-0.21,-468.22,,,,-1333
2022-08-02,-0.05,-0.03,42.31,,,,-1424
2022-05-04,-0.14,-0.1,31.87,,,,-1514
2022-02-09,-0.29,0.64,320.41,,,,-1598
2021-11-04,-0.3,-1.28,-328.67,,,,-1695
2021-08-04,-0.32,-0.17,47.75,,,,-1787
2021-05-05,-0.35,0.45,231.01,,,,-1878
2021-02-10,-0.42,-0.4,3.74,,,,-1962
2020-11-05,-0.5,-0.43,12.63,,,,-2059
2020-08-06,-0.88,-1.02,-16.56,,,,-2150
