earnings_date,eps_estimate,eps_actual,surprise_pct,revenue_estimate_low,revenue_estimate_high,revenue_estimate_avg,days_until_earnings
2026-07-31,3.73,,,77563000000.0,115090923080.0,101524299990.0,35
2026-05-01,1.01,1.16,15.14,,,,-56
2026-01-30,1.69,1.71,1.12,,,,-147
2025-10-31,1.82,1.88,3.03,,,,-238
2025-08-01,1.56,1.64,4.93,,,,-329
2025-05-02,1.74,1.76,1.16,,,,-420
2025-01-31,1.55,1.67,7.87,,,,-511
2024-11-01,1.87,1.92,2.6,,,,-602
2024-08-02,2.01,2.14,6.51,,,,-693
2024-04-26,2.16,2.06,-4.75,,,,-791
2024-02-02,2.19,2.48,13.04,,,,-875
2023-10-27,2.36,2.27,-3.82,,,,-973
2023-07-28,2.02,1.94,-3.91,,,,-1064
2023-04-28,2.59,2.83,9.32,,,,-1155
2023-01-31,3.28,3.4,3.57,,,,-1242
2022-10-28,3.82,4.45,16.48,,,,-1337
2022-07-29,3.89,4.14,6.46,,,,-1428
2022-04-29,2.22,2.07,-6.96,,,,-1519
2022-02-01,1.93,2.05,6.27,,,,-1606
2021-10-29,1.52,1.58,3.79,,,,-1701
2021-07-30,0.99,1.1,10.57,,,,-1792
2021-04-30,0.6,0.65,8.17,,,,-1883
2021-02-02,0.02,0.03,50.0,,,,-1970
2020-10-30,-0.25,-0.18,27.8,,,,-2065
2020-07-31,-0.6,-0.7,-17.05,,,,-2156
