filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-17,2026-06-15,Newstead Jennifer,"SVP, GC and Secretary",M,Option exercise,30104.0,,
2026-06-17,2026-06-15,Borders Ben,Principal Accounting Officer,M,Option exercise,240.0,,
2026-06-17,2026-06-15,Borders Ben,Principal Accounting Officer,F,Tax withholding (sale),124.0,296.42,36756.08
2026-06-17,2026-06-15,Borders Ben,Principal Accounting Officer,S,Sale,116.0,295.14,34236.24
2026-06-17,2026-06-15,Newstead Jennifer,"SVP, GC and Secretary",F,Tax withholding (sale),16238.0,296.42,4813267.96
2026-05-29,2026-05-27,LEVINSON ARTHUR D,Director,S,Sale,50000.0,311.02,15551000.0
2026-05-29,2026-05-27,LEVINSON ARTHUR D,Director,G,Gift,65000.0,0.0,
2026-05-12,2026-05-08,Borders Ben,Principal Accounting Officer,S,Sale,1274.0,290.0,369460.0
2026-05-08,2026-05-06,LEVINSON ARTHUR D,Director,S,Sale,149527.0,284.57,42550898.39
2026-05-08,2026-05-06,LEVINSON ARTHUR D,Director,S,Sale,100473.0,285.04,28638823.92
2026-05-08,2026-05-06,LEVINSON ARTHUR D,Director,G,Gift,5000.0,0.0,
2026-04-27,2026-04-23,Parekh Kevan,"Senior Vice President, CFO",S,Sale,1534.0,275.0,421850.0
2026-04-17,2026-04-15,Parekh Kevan,"Senior Vice President, CFO",M,Option exercise,10928.0,,
2026-04-17,2026-04-15,Parekh Kevan,"Senior Vice President, CFO",F,Tax withholding (sale),4793.0,266.43,1276998.99
2026-04-17,2026-04-15,Borders Ben,Principal Accounting Officer,F,Tax withholding (sale),892.0,266.43,237655.56
2026-04-17,2026-04-15,Borders Ben,Principal Accounting Officer,M,Option exercise,1717.0,,
2026-04-03,2026-04-01,O'BRIEN DEIRDRE,Senior Vice President,M,Option exercise,64317.0,,
2026-04-03,2026-04-01,O'BRIEN DEIRDRE,Senior Vice President,F,Tax withholding (sale),34315.0,255.63,8771943.45
2026-04-03,2026-04-01,O'BRIEN DEIRDRE,Senior Vice President,S,Sale,20338.0,255.12,5188630.56
2026-04-03,2026-04-01,O'BRIEN DEIRDRE,Senior Vice President,S,Sale,9664.0,255.82,2472244.48
2026-04-03,2026-04-01,Khan Sabih,COO,M,Option exercise,64317.0,,
2026-04-03,2026-04-01,Khan Sabih,COO,F,Tax withholding (sale),33317.0,255.63,8516824.71
2026-04-03,2026-04-01,COOK TIMOTHY D,Chief Executive Officer,M,Option exercise,131576.0,,
2026-04-03,2026-04-01,COOK TIMOTHY D,Chief Executive Officer,F,Tax withholding (sale),66627.0,255.63,17031860.01
2026-04-03,2026-04-01,COOK TIMOTHY D,Chief Executive Officer,S,Sale,5087.0,251.25,1278108.75
2026-04-03,2026-04-01,COOK TIMOTHY D,Chief Executive Officer,S,Sale,9147.0,252.11,2306050.17
2026-04-03,2026-04-01,COOK TIMOTHY D,Chief Executive Officer,S,Sale,1878.0,253.13,475378.14
2026-04-03,2026-04-01,COOK TIMOTHY D,Chief Executive Officer,S,Sale,16083.0,254.37,4091032.71
2026-04-03,2026-04-01,COOK TIMOTHY D,Chief Executive Officer,S,Sale,28188.0,255.17,7192731.96
2026-04-03,2026-04-01,COOK TIMOTHY D,Chief Executive Officer,S,Sale,4566.0,256.0,1168896.0
