filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-26,2026-06-24,Blecharczyk Nathan,Chief Strategy Officer,C,C,88366.0,,
2026-06-26,2026-06-24,Blecharczyk Nathan,Chief Strategy Officer,S,Sale,24770.0,146.2891,3623581.01
2026-06-26,2026-06-24,Blecharczyk Nathan,Chief Strategy Officer,S,Sale,2440.0,147.0947,358911.07
2026-06-26,2026-06-24,Blecharczyk Nathan,Chief Strategy Officer,C,C,2113.0,,
2026-06-26,2026-06-24,Blecharczyk Nathan,Chief Strategy Officer,S,Sale,2113.0,145.0874,306569.68
2026-06-26,2026-06-24,Blecharczyk Nathan,Chief Strategy Officer,S,Sale,61156.0,145.5577,8901726.7
2026-06-17,2026-06-15,Gebbia Joseph,Director,S,Sale,900.0,140.0533,126047.97
2026-06-17,2026-06-15,Chesky Brian,CEO and Chairman,S,Sale,300.0,140.0733,42021.99
2026-06-17,2026-06-15,Chesky Brian,CEO and Chairman,S,Sale,4225.0,139.3163,588611.37
2026-06-17,2026-06-15,Chesky Brian,CEO and Chairman,S,Sale,20638.0,138.535,2859085.33
2026-06-17,2026-06-15,Chesky Brian,CEO and Chairman,S,Sale,1312.0,135.074,177217.09
2026-06-17,2026-06-15,Chesky Brian,CEO and Chairman,S,Sale,4268.0,137.7327,587843.16
2026-06-17,2026-06-15,Gebbia Joseph,Director,S,Sale,38199.0,139.3836,5324314.14
2026-06-17,2026-06-15,Gebbia Joseph,Director,S,Sale,187190.0,138.5259,25930663.22
2026-06-17,2026-06-15,Gebbia Joseph,Director,S,Sale,35211.0,137.7271,4849508.92
2026-06-17,2026-06-15,Gebbia Joseph,Director,S,Sale,600.0,136.965,82179.0
2026-06-17,2026-06-15,Gebbia Joseph,Director,S,Sale,1425.0,135.2681,192757.04
2026-06-17,2026-06-15,Gebbia Joseph,Director,S,Sale,1475.0,134.7058,198691.06
2026-06-10,2026-06-08,Chesky Brian,CEO and Chairman,S,Sale,36117.0,135.3049,4886807.07
2026-06-10,2026-06-08,Chesky Brian,CEO and Chairman,S,Sale,1587.0,136.1249,216030.22
2026-06-10,2026-06-08,Chesky Brian,CEO and Chairman,S,Sale,2109.0,135.2152,285168.86
2026-06-10,2026-06-08,Chesky Brian,CEO and Chairman,S,Sale,2086.0,136.2035,284120.5
2026-06-08,2026-06-04,Chesky Brian,CEO and Chairman,S,Sale,31240.0,135.7168,4239792.83
2026-06-08,2026-06-04,Chesky Brian,CEO and Chairman,S,Sale,27533.0,136.4241,3756164.75
2026-06-08,2026-06-04,Chesky Brian,CEO and Chairman,S,Sale,5560.0,137.0716,762118.1
2026-06-08,2026-06-04,Chesky Brian,CEO and Chairman,S,Sale,16515.0,135.1655,2232258.23
2026-06-04,2026-06-02,Chesky Brian,CEO and Chairman,S,Sale,36074.0,134.3942,4848136.37
2026-06-04,2026-06-02,Mertz Elinor,Chief Financial Officer,S,Sale,7433.0,136.24,1012671.92
2026-06-04,2026-06-02,Chesky Brian,CEO and Chairman,S,Sale,800.0,135.7144,108571.52
2026-06-04,2026-06-02,Chesky Brian,CEO and Chairman,S,Sale,6718.0,132.5682,890593.17
2026-06-04,2026-06-02,Chesky Brian,CEO and Chairman,S,Sale,19172.0,133.6993,2563282.98
2026-06-03,2026-06-01,Gebbia Joseph,Director,S,Sale,11600.0,132.5186,1537215.76
2026-06-03,2026-06-01,Gebbia Joseph,Director,S,Sale,49400.0,133.4867,6594242.98
2026-06-03,2026-06-01,Gebbia Joseph,Director,S,Sale,48600.0,134.5158,6537467.88
2026-06-03,2026-06-01,Gebbia Joseph,Director,S,Sale,54099.0,135.3717,7323473.6
2026-06-03,2026-06-01,Gebbia Joseph,Director,S,Sale,25050.0,136.352,3415617.6
2026-06-03,2026-06-01,Gebbia Joseph,Director,S,Sale,76251.0,137.5119,10485419.89
2026-06-02,2026-05-29,Chesky Brian,CEO and Chairman,S,Sale,21100.0,134.5415,2838825.65
2026-06-02,2026-05-29,Chesky Brian,CEO and Chairman,S,Sale,14649.0,136.3258,1997036.64
2026-06-02,2026-05-29,Chesky Brian,CEO and Chairman,S,Sale,57.0,138.03,7867.71
2026-06-02,2026-05-29,Chesky Brian,CEO and Chairman,S,Sale,7869.0,137.5966,1082747.65
2026-06-02,2026-05-29,Chesky Brian,CEO and Chairman,S,Sale,1800.0,136.2783,245300.94
2026-06-02,2026-05-29,Chesky Brian,CEO and Chairman,S,Sale,5500.0,135.3338,744335.9
2026-06-02,2026-05-29,Chesky Brian,CEO and Chairman,S,Sale,1223.0,138.0219,168800.78
2026-06-02,2026-05-29,Chesky Brian,CEO and Chairman,S,Sale,66005.0,137.6102,9082961.25
2026-06-02,2026-05-29,Chesky Brian,CEO and Chairman,S,Sale,8170.0,132.6277,1083568.31
