filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-05-29,2026-05-27,Huntsman Jon M Jr,Director,A,Award,1272.0,0.0,
2026-05-29,2026-05-27,WARNER CYNTHIA J,Director,A,Award,1272.0,0.0,
2026-05-29,2026-05-27,Umpleby III Donald J,Director,A,Award,1272.0,0.0,
2026-05-29,2026-05-27,Moyo Dambisa F,Director,A,Award,1272.0,0.0,
2026-05-29,2026-05-27,HORTON THOMAS W,Director,A,Award,1272.0,0.0,
2026-05-29,2026-05-27,HEWSON MARILLYN A,Director,A,Award,1272.0,0.0,
2026-05-29,2026-05-27,HESS JOHN B,Director,A,Award,1272.0,0.0,
2026-05-29,2026-05-27,HERNANDEZ ENRIQUE JR,Director,A,Award,1272.0,0.0,
2026-05-29,2026-05-27,Frank John,Director,A,Award,1272.0,0.0,
2026-05-29,2026-05-27,Austin Wanda M,Director,A,Award,1272.0,0.0,
2026-05-29,2026-05-27,REED DEBRA L,Director,A,Award,1272.0,0.0,
2026-05-22,2026-05-20,HESS JOHN B,Director,S,Sale,7038.0,195.9655,1379205.19
2026-05-22,2026-05-20,HESS JOHN B,Director,S,Sale,3035.0,197.4498,599260.14
2026-05-22,2026-05-20,HESS JOHN B,Director,S,Sale,30581.0,196.7429,6016594.62
2026-05-22,2026-05-20,HESS JOHN B,Director,S,Sale,119787.0,192.8617,23102324.46
2026-05-22,2026-05-20,HESS JOHN B,Director,S,Sale,42678.0,194.6512,8307323.91
2026-05-22,2026-05-20,HESS JOHN B,Director,S,Sale,59045.0,193.7872,11442165.22
2026-05-22,2026-05-20,HESS JOHN B,Director,S,Sale,117836.0,191.5195,22567891.8
2026-05-08,2026-05-06,Moyo Dambisa F,Director,G,Gift,780.0,0.0,
2026-05-08,2026-05-06,HESS JOHN B,Director,S,Sale,28031.0,183.903,5154984.99
2026-05-08,2026-05-06,HESS JOHN B,Director,S,Sale,88921.0,184.6701,16421049.96
2026-05-08,2026-05-06,HESS JOHN B,Director,S,Sale,78048.0,185.2128,14455488.61
2026-04-01,2026-03-30,Pate R. Hewitt,Chief Legal Officer,M,Option exercise,40200.0,125.35,5039070.0
2026-04-01,2026-03-30,Pate R. Hewitt,Chief Legal Officer,S,Sale,40200.0,213.3049,8574856.98
