filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-18,2026-06-16,Barra Mary T,Chair & CEO,M,Option exercise,6867.0,41.4,284293.8
2026-06-18,2026-06-16,Barra Mary T,Chair & CEO,S,Sale,6867.0,85.1,584381.7
2026-06-18,2026-06-16,Barra Mary T,Chair & CEO,M,Option exercise,83476.0,49.46,4128722.96
2026-06-18,2026-06-16,Barra Mary T,Chair & CEO,S,Sale,83476.0,85.1,7103807.6
2026-06-18,2026-06-16,Barra Mary T,Chair & CEO,M,Option exercise,8896.0,52.16,464015.36
2026-06-18,2026-06-16,Barra Mary T,Chair & CEO,S,Sale,8896.0,85.1,757049.6
2026-06-11,2026-06-09,Barra Mary T,Chair & CEO,M,Option exercise,20582.0,41.4,852094.8
2026-06-11,2026-06-09,Barra Mary T,Chair & CEO,S,Sale,20582.0,85.0,1749470.0
2026-06-02,2026-05-29,Barra Mary T,Chair & CEO,S,Sale,23000.0,85.0,1955000.0
2026-06-02,2026-05-29,Barra Mary T,Chair & CEO,M,Option exercise,23000.0,41.4,952200.0
2026-06-01,2026-05-28,Harvey Rory,Executive Vice President,S,Sale,9124.0,84.97,775266.28
2026-06-01,2026-05-28,Hatto Christopher,Vice President & CAO,S,Sale,6895.0,85.0,586075.0
2026-05-28,2026-05-26,Barra Mary T,Chair & CEO,S,Sale,5325.0,80.01,426053.25
2026-05-28,2026-05-26,Jacobson Paul A,Executive Vice President & CFO,S,Sale,40000.0,80.0,3200000.0
2026-05-28,2026-05-26,Barra Mary T,Chair & CEO,S,Sale,75192.0,85.03,6393575.76
2026-05-28,2026-05-26,Barra Mary T,Chair & CEO,S,Sale,59762.0,85.03,5081562.86
2026-05-28,2026-05-26,Barra Mary T,Chair & CEO,M,Option exercise,59762.0,41.4,2474146.8
2026-05-28,2026-05-26,Barra Mary T,Chair & CEO,S,Sale,103057.0,82.32,8483652.24
2026-05-28,2026-05-26,Barra Mary T,Chair & CEO,M,Option exercise,69564.0,49.46,3440635.44
2026-05-28,2026-05-26,Barra Mary T,Chair & CEO,S,Sale,48659.0,80.01,3893206.59
2026-05-28,2026-05-26,Barra Mary T,Chair & CEO,M,Option exercise,48659.0,52.16,2538053.44
2026-05-28,2026-05-26,Barra Mary T,Chair & CEO,S,Sale,69564.0,80.01,5565815.64
2026-05-28,2026-05-26,Barra Mary T,Chair & CEO,S,Sale,91843.0,80.01,7348358.43
2026-05-28,2026-05-26,Barra Mary T,Chair & CEO,M,Option exercise,91843.0,41.4,3802300.2
2026-05-27,2026-05-22,Harvey Rory,Executive Vice President,M,Option exercise,5652.0,41.4,233992.8
2026-05-27,2026-05-22,Harvey Rory,Executive Vice President,S,Sale,5652.0,79.57,449729.64
2026-05-27,2026-05-22,Harvey Rory,Executive Vice President,S,Sale,13582.0,82.97,1126898.54
2026-05-27,2026-05-22,Harvey Rory,Executive Vice President,S,Sale,65912.0,83.03,5472673.36
