filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-18,2026-06-15,WALKER JOHN KENT,"President, Global Affairs, CLO",A,Award,17.0,0.0,
2026-06-17,2026-06-15,Ferguson Roger W. Jr.,Director,A,Award,1.0,0.0,
2026-06-18,2026-06-15,Ashkenazi Anat,"SVP, Chief Financial Officer",A,Award,15.0,0.0,
2026-06-18,2026-06-15,Ashkenazi Anat,"SVP, Chief Financial Officer",A,Award,36.0,0.0,
2026-06-18,2026-06-15,Ashkenazi Anat,"SVP, Chief Financial Officer",A,Award,42.0,0.0,
2026-06-18,2026-06-15,Schindler Philipp,"SVP, Chief Business Officer",A,Award,45.0,0.0,
2026-06-18,2026-06-15,Schindler Philipp,"SVP, Chief Business Officer",A,Award,52.0,0.0,
2026-06-17,2026-06-15,Pichai Sundar,Chief Executive Officer,A,Award,137.0,0.0,
2026-06-17,2026-06-15,CHAVEZ R. MARTIN,Director,A,Award,0.2,0.0,
2026-06-17,2026-06-15,CHAVEZ R. MARTIN,Director,A,Award,0.5,0.0,
2026-06-17,2026-06-15,CHAVEZ R. MARTIN,Director,A,Award,1.0,0.0,
2026-06-17,2026-06-15,CHAVEZ R. MARTIN,Director,A,Award,1.0,0.0,
2026-06-17,2026-06-15,Ferguson Roger W. Jr.,Director,A,Award,0.05,0.0,
2026-06-17,2026-06-15,Ferguson Roger W. Jr.,Director,A,Award,0.5,0.0,
2026-06-17,2026-06-15,Ferguson Roger W. Jr.,Director,A,Award,1.0,0.0,
2026-06-18,2026-06-15,ARNOLD FRANCES,Director,A,Award,1.0,0.0,
2026-06-17,2026-06-15,DOERR L JOHN,Director,A,Award,0.5,0.0,
2026-06-17,2026-06-15,DOERR L JOHN,Director,A,Award,0.05,0.0,
2026-06-17,2026-06-15,DOERR L JOHN,Director,A,Award,1.0,0.0,
2026-06-17,2026-06-15,DOERR L JOHN,Director,A,Award,1.0,0.0,
2026-06-17,2026-06-15,Washington Robin L,Director,A,Award,0.05,0.0,
2026-06-17,2026-06-15,Washington Robin L,Director,A,Award,0.5,0.0,
2026-06-17,2026-06-15,Washington Robin L,Director,A,Award,1.0,0.0,
2026-06-17,2026-06-15,Washington Robin L,Director,A,Award,1.0,0.0,
2026-06-17,2026-06-15,Shriram Kavitark Ram,Director,A,Award,0.05,0.0,
2026-06-17,2026-06-15,Shriram Kavitark Ram,Director,A,Award,0.5,0.0,
2026-06-17,2026-06-15,Shriram Kavitark Ram,Director,A,Award,1.0,0.0,
2026-06-17,2026-06-15,Shriram Kavitark Ram,Director,A,Award,1.0,0.0,
2026-06-18,2026-06-15,ARNOLD FRANCES,Director,A,Award,1.0,0.0,
2026-06-18,2026-06-15,Schindler Philipp,"SVP, Chief Business Officer",A,Award,22.0,0.0,
2026-06-18,2026-06-15,ARNOLD FRANCES,Director,A,Award,0.5,0.0,
2026-06-18,2026-06-15,Hennessy John L.,Director,S,Sale,45.0,369.89,16645.05
2026-06-18,2026-06-15,WALKER JOHN KENT,"President, Global Affairs, CLO",A,Award,41.0,0.0,
2026-06-18,2026-06-15,Porat Ruth,President and CIO,A,Award,17.0,0.0,
2026-06-18,2026-06-15,Porat Ruth,President and CIO,A,Award,36.0,0.0,
2026-06-18,2026-06-15,Porat Ruth,President and CIO,A,Award,41.0,0.0,
2026-06-18,2026-06-15,Saraci Marsida,"VP, Chief Accounting Officer",A,Award,1.0,0.0,
2026-06-18,2026-06-15,Saraci Marsida,"VP, Chief Accounting Officer",A,Award,3.0,0.0,
2026-06-18,2026-06-15,Saraci Marsida,"VP, Chief Accounting Officer",A,Award,3.0,0.0,
2026-06-18,2026-06-15,Saraci Marsida,"VP, Chief Accounting Officer",A,Award,1.0,0.0,
2026-06-18,2026-06-15,ARNOLD FRANCES,Director,A,Award,0.05,0.0,
2026-06-18,2026-06-15,Saraci Marsida,"VP, Chief Accounting Officer",A,Award,1.0,0.0,
2026-06-18,2026-06-15,Hennessy John L.,Director,S,Sale,45.0,366.22,16479.9
2026-06-18,2026-06-15,Hennessy John L.,Director,S,Sale,33.0,367.66,12132.78
2026-06-18,2026-06-15,Hennessy John L.,Director,S,Sale,177.0,369.21,65350.17
2026-06-18,2026-06-15,Saraci Marsida,"VP, Chief Accounting Officer",A,Award,1.0,0.0,
2026-06-18,2026-06-15,Hennessy John L.,Director,S,Sale,51.0,366.01,18666.51
2026-06-18,2026-06-15,Hennessy John L.,Director,S,Sale,158.0,369.66,58406.28
