filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-17,2026-06-15,GOLDMAN SACHS GROUP INC,0,S,Sale,1.0,9.9,9.9
2026-06-17,2026-06-15,GOLDMAN SACHS GROUP INC,0,S,Sale,25.0,9.9,247.5
2026-06-17,2026-06-15,GOLDMAN SACHS GROUP INC,0,S,Sale,22.0,9.9,217.8
2026-05-18,2026-05-14,COLEMAN DENIS P.,Chief Financial Officer,S,Sale,2509.0,972.29,2439475.61
2026-05-18,2026-05-14,COLEMAN DENIS P.,Chief Financial Officer,S,Sale,1560.0,973.19,1518176.4
2026-05-18,2026-05-14,COLEMAN DENIS P.,Chief Financial Officer,S,Sale,1360.0,974.53,1325360.8
2026-05-18,2026-05-14,COLEMAN DENIS P.,Chief Financial Officer,S,Sale,1428.0,975.21,1392599.88
2026-05-08,2026-05-06,Ruemmler Kathryn H.,"Chief Legal Officer, GC",S,Sale,814.0,938.42,763873.88
2026-05-08,2026-05-06,Ruemmler Kathryn H.,"Chief Legal Officer, GC",S,Sale,120.0,941.25,112950.0
2026-05-08,2026-05-06,Ruemmler Kathryn H.,"Chief Legal Officer, GC",S,Sale,8250.0,940.23,7756897.5
2026-05-08,2026-05-06,Ruemmler Kathryn H.,"Chief Legal Officer, GC",S,Sale,2671.0,939.33,2508950.43
2026-05-08,2026-05-06,Ruemmler Kathryn H.,"Chief Legal Officer, GC",S,Sale,481.0,934.76,449619.56
2026-05-08,2026-05-06,Ruemmler Kathryn H.,"Chief Legal Officer, GC",S,Sale,203.0,936.7,190150.1
2026-05-08,2026-05-06,Ruemmler Kathryn H.,"Chief Legal Officer, GC",S,Sale,837.0,936.24,783632.88
2026-05-08,2026-05-06,Ruemmler Kathryn H.,"Chief Legal Officer, GC",S,Sale,479.0,934.04,447405.16
2026-05-08,2026-05-06,Ruemmler Kathryn H.,"Chief Legal Officer, GC",S,Sale,437.0,933.08,407755.96
2026-05-05,2026-05-01,FREDMAN SHEARA J,Chief Accounting Officer,S,Sale,8166.0,930.21,7596094.86
2026-05-05,2026-05-01,Ruemmler Kathryn H.,"Chief Legal Officer, GC",S,Sale,80.0,930.35,74428.0
2026-05-05,2026-05-01,Ruemmler Kathryn H.,"Chief Legal Officer, GC",S,Sale,468.0,929.71,435104.28
2026-05-05,2026-05-01,Ruemmler Kathryn H.,"Chief Legal Officer, GC",S,Sale,135.0,928.85,125394.75
2026-05-05,2026-05-01,SOLOMON DAVID M,Chairman of the Board and CEO,S,Sale,2310.0,930.43,2149293.3
2026-05-05,2026-05-01,SOLOMON DAVID M,Chairman of the Board and CEO,S,Sale,1160.0,931.25,1080250.0
