filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-22,2026-06-18,Raymond John w,Director,S,Sale,3815.0,55.01,209863.15
2026-06-22,2026-06-17,TOLEDANO GABRIELLE B,Director,A,Award,4526.0,0.0,
2026-06-18,2026-06-17,FRANKOLA JIM,Director,A,Award,4526.0,0.0,
2026-06-22,2026-06-17,TOLEDANO GABRIELLE B,Director,S,Sale,2757.0,55.01,151662.57
2026-06-18,2026-06-17,TEUBER WILLIAM J JR,Director,A,Award,4526.0,0.0,
2026-06-18,2026-06-17,Scannell William F,Director,A,Award,4526.0,0.0,
2026-06-22,2026-06-17,Chou Kathryn K.,Director,S,Sale,2757.0,55.02,151690.14
2026-06-22,2026-06-17,Chou Kathryn K.,Director,A,Award,4526.0,0.0,
2026-06-18,2026-06-16,Singh Inder M,CFO & COO,F,Tax withholding (sale),2617.0,59.75,156365.75
2026-06-12,2026-06-11,Singh Inder M,CFO & COO,F,Tax withholding (sale),6272.0,56.2052,352519.01
2026-06-12,2026-06-11,de Masi Niccolo,President and CEO,F,Tax withholding (sale),16120.0,56.2052,906027.82
2026-06-12,2026-06-11,Cardillo Robert T.,Director,F,Tax withholding (sale),904.0,56.2052,50809.5
2026-06-12,2026-06-11,DACIER PAUL T,"CAO, CLO and Secretary",F,Tax withholding (sale),4110.0,56.2052,231003.37
2026-05-08,2026-05-06,Cardillo Robert T.,Director,M,Option exercise,3773.0,11.24,42408.52
2026-05-08,2026-05-06,Cardillo Robert T.,Director,S,Sale,3773.0,49.9,188272.7
2026-04-17,2026-04-16,Cardillo Robert T.,Director,M,Option exercise,2500.0,11.24,28100.0
2026-04-17,2026-04-16,Cardillo Robert T.,Director,S,Sale,2500.0,44.9,112250.0
