filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-09,2026-06-05,Dhingra Gagan,SVP Finance & Accounting,F,Tax withholding (sale),6801.0,5.68,38629.68
2026-06-09,2026-06-05,Winterhoff Marc,Chief Operating Officer,F,Tax withholding (sale),15263.0,5.68,86693.84
2026-06-09,2026-06-05,Boussaid Taoufiq,Chief Financial Officer,F,Tax withholding (sale),8393.0,5.68,47672.24
2026-06-08,2026-06-04,Nouri Chabi,Director,A,Award,43870.0,0.0,
2026-06-08,2026-06-04,Nouri Chabi,Director,F,Tax withholding (sale),1556.0,5.72,8900.32
2026-06-08,2026-06-04,Lambert Lisa Marie,Director,A,Award,2924.0,0.0,
2026-06-08,2026-06-04,Lambert Lisa Marie,Director,A,Award,43870.0,0.0,
2026-06-08,2026-06-04,Maynard-Elliott Nichelle,Director,A,Award,43870.0,0.0,
2026-06-08,2026-06-04,Winitzer Ori,Director,A,Award,43870.0,0.0,
2026-06-08,2026-06-04,LIVERIS ANDREW N,Director,A,Award,2599.0,0.0,
2026-06-08,2026-06-04,LIVERIS ANDREW N,Director,A,Award,43870.0,0.0,
2026-06-08,2026-06-04,Wong Janet S.,Director,A,Award,2924.0,0.0,
2026-06-08,2026-06-04,Alnowaiser Turqi A.,Director,A,Award,1299.0,0.0,
2026-06-08,2026-06-04,Alnowaiser Turqi A.,Director,A,Award,43870.0,0.0,
2026-06-08,2026-06-04,Alnowaiser Turqi A.,Director,F,Tax withholding (sale),1248.0,5.72,7138.56
2026-06-08,2026-06-04,Grimm Douglas J.,Director,A,Award,43870.0,0.0,
2026-06-03,2026-06-01,Winitzer Ori,Director,S,Sale,1000.0,6.38,6380.0
2026-04-28,2026-04-24,Nouri Chabi,Director,F,Tax withholding (sale),210.0,6.27,1316.7
2026-04-17,2026-04-15,Napoli Silvio,Director,A,Award,402073.0,0.0,
