filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-17,2026-06-15,Olivan Javier,Chief Operating Officer,S,Sale,140.0,600.0,84000.0
2026-06-17,2026-06-15,Olivan Javier,Chief Operating Officer,S,Sale,114.0,600.0,68400.0
2026-06-17,2026-06-15,Olivan Javier,Chief Operating Officer,S,Sale,164.0,600.0,98400.0
2026-06-17,2026-06-15,Olivan Javier,Chief Operating Officer,S,Sale,816.0,600.0,489600.0
2026-06-17,2026-06-15,Olivan Javier,Chief Operating Officer,S,Sale,164.0,600.0,98400.0
2026-06-03,2026-06-01,KIMMITT ROBERT M,Director,S,Sale,504.0,629.29,317162.16
2026-06-03,2026-06-01,Olivan Javier,Chief Operating Officer,S,Sale,837.0,629.29,526715.73
2026-06-03,2026-06-01,Olivan Javier,Chief Operating Officer,S,Sale,82.0,629.29,51601.78
2026-06-03,2026-06-01,Olivan Javier,Chief Operating Officer,S,Sale,57.0,629.29,35869.53
2026-06-03,2026-06-01,Olivan Javier,Chief Operating Officer,S,Sale,82.0,629.29,51601.78
2026-06-03,2026-06-01,Olivan Javier,Chief Operating Officer,S,Sale,408.0,629.29,256750.32
2026-05-29,2026-05-27,Mahoney Curtis J.,Chief Legal Officer,S,Sale,2079.0,609.92,1268023.68
2026-05-28,2026-05-26,Olivan Javier,Chief Operating Officer,S,Sale,82.0,608.98,49936.36
2026-05-28,2026-05-26,Olivan Javier,Chief Operating Officer,S,Sale,408.0,608.98,248463.84
2026-05-28,2026-05-26,Olivan Javier,Chief Operating Officer,S,Sale,837.0,608.98,509716.26
2026-05-28,2026-05-26,Olivan Javier,Chief Operating Officer,S,Sale,57.0,608.98,34711.86
2026-05-28,2026-05-26,Olivan Javier,Chief Operating Officer,S,Sale,82.0,608.98,49936.36
2026-05-19,2026-05-15,Songhurst Charles,Director,M,Option exercise,600.0,0.0,
2026-05-19,2026-05-15,Songhurst Charles,Director,M,Option exercise,109.0,0.0,
2026-05-19,2026-05-15,Anderson Aaron,Chief Accounting Officer,F,Tax withholding (sale),1218.0,618.43,753247.74
2026-05-19,2026-05-15,Anderson Aaron,Chief Accounting Officer,M,Option exercise,335.0,0.0,
2026-05-19,2026-05-15,Anderson Aaron,Chief Accounting Officer,M,Option exercise,332.0,0.0,
2026-05-19,2026-05-15,LI SUSAN J,Chief Financial Officer,S,Sale,82.0,611.3923,50134.17
2026-05-19,2026-05-15,Anderson Aaron,Chief Accounting Officer,M,Option exercise,1451.0,0.0,
2026-05-19,2026-05-15,LI SUSAN J,Chief Financial Officer,M,Option exercise,2704.0,0.0,
2026-05-19,2026-05-15,LI SUSAN J,Chief Financial Officer,S,Sale,1148.0,609.9334,700203.54
2026-05-19,2026-05-15,LI SUSAN J,Chief Financial Officer,S,Sale,2344.0,609.1468,1427840.1
2026-05-19,2026-05-15,LI SUSAN J,Chief Financial Officer,S,Sale,1809.0,607.8702,1099637.19
2026-05-19,2026-05-15,LI SUSAN J,Chief Financial Officer,S,Sale,2050.0,607.0304,1244412.32
2026-05-19,2026-05-15,LI SUSAN J,Chief Financial Officer,S,Sale,1236.0,605.882,748870.15
2026-05-19,2026-05-15,LI SUSAN J,Chief Financial Officer,S,Sale,526.0,604.6299,318035.33
2026-05-19,2026-05-15,LI SUSAN J,Chief Financial Officer,F,Tax withholding (sale),6921.0,618.43,4280154.03
2026-05-19,2026-05-15,KIMMITT ROBERT M,Director,M,Option exercise,600.0,0.0,
2026-05-19,2026-05-15,Songhurst Charles,Director,F,Tax withholding (sale),108.0,618.43,66790.44
2026-05-19,2026-05-15,White Dana,Director,M,Option exercise,109.0,0.0,
2026-05-19,2026-05-15,Elkann John,Director,M,Option exercise,109.0,0.0,
2026-05-19,2026-05-15,Elkann John,Director,M,Option exercise,600.0,0.0,
2026-05-19,2026-05-15,Alford Peggy,Director,M,Option exercise,600.0,0.0,
2026-05-19,2026-05-15,Collison Patrick,Director,M,Option exercise,600.0,0.0,
2026-05-19,2026-05-15,Collison Patrick,Director,M,Option exercise,103.0,0.0,
2026-05-19,2026-05-15,Houston Andrew,Director,M,Option exercise,600.0,0.0,
2026-05-19,2026-05-15,Killefer Nancy,Director,M,Option exercise,600.0,0.0,
