filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-24,2026-06-23,Patten Jarrod M,Director,M,Option exercise,1500.0,18.236,27354.0
2026-06-24,2026-06-23,Patten Jarrod M,Director,S,Sale,1500.0,106.08,159120.0
2026-06-22,2026-06-22,Le Phong,President & CEO,P,Purchase,11000.0,90.796,998756.0
2026-06-18,2026-06-17,Patten Jarrod M,Director,M,Option exercise,1500.0,18.236,27354.0
2026-06-18,2026-06-17,Patten Jarrod M,Director,S,Sale,1500.0,121.31,181965.0
2026-06-17,2026-06-16,Chow Thomas C.,EVP & General Counsel,P,Purchase,100.0,92.71,9271.0
2026-06-17,2026-06-16,Chow Thomas C.,EVP & General Counsel,P,Purchase,11.0,66.1,727.1
2026-06-17,2026-06-15,Patten Jarrod M,Director,M,Option exercise,1500.0,18.236,27354.0
2026-06-17,2026-06-15,Patten Jarrod M,Director,S,Sale,1500.0,133.967,200950.5
2026-06-09,2026-06-08,Kang Andrew,EVP & CFO,S,Sale,910.0,124.326,113136.66
2026-06-09,2026-06-08,Montgomery Jeanine,VP & CAO,S,Sale,4.0,124.878,499.51
2026-06-09,2026-06-08,Montgomery Jeanine,VP & CAO,S,Sale,165.0,124.326,20513.79
2026-06-09,2026-06-08,Montgomery Jeanine,VP & CAO,S,Sale,185.0,123.384,22826.04
2026-06-09,2026-06-08,Montgomery Jeanine,VP & CAO,M,Option exercise,1140.0,,
2026-06-09,2026-06-08,Kang Andrew,EVP & CFO,S,Sale,20.0,124.878,2497.56
2026-06-09,2026-06-08,Kang Andrew,EVP & CFO,S,Sale,1019.0,123.384,125728.3
2026-06-09,2026-06-08,Le Phong,President & CEO,S,Sale,55.0,124.878,6868.29
2026-06-09,2026-06-08,Le Phong,President & CEO,S,Sale,2579.0,124.326,320636.75
2026-06-09,2026-06-08,Le Phong,President & CEO,S,Sale,2888.0,123.384,356332.99
2026-06-09,2026-06-08,Le Phong,President & CEO,M,Option exercise,11920.0,,
2026-06-09,2026-06-08,Kang Andrew,EVP & CFO,M,Option exercise,4260.0,,
2026-06-05,2026-06-03,Kang Andrew,EVP & CFO,S,Sale,5750.0,119.529,687291.75
2026-06-05,2026-06-03,Kang Andrew,EVP & CFO,S,Sale,3781.0,115.351,436142.13
2026-06-05,2026-06-03,Kang Andrew,EVP & CFO,S,Sale,4638.0,116.569,540647.02
2026-06-05,2026-06-03,Kang Andrew,EVP & CFO,S,Sale,5605.0,117.531,658761.26
2026-06-05,2026-06-03,Kang Andrew,EVP & CFO,S,Sale,5627.0,118.592,667317.18
2026-06-05,2026-06-03,Kang Andrew,EVP & CFO,S,Sale,2075.0,122.546,254282.95
2026-06-05,2026-06-03,Kang Andrew,EVP & CFO,S,Sale,1361.0,120.221,163620.78
2026-06-05,2026-06-03,Kang Andrew,EVP & CFO,S,Sale,413.0,121.586,50215.02
2026-06-05,2026-06-03,Kang Andrew,EVP & CFO,S,Sale,1320.0,123.389,162873.48
2026-06-05,2026-06-03,Kang Andrew,EVP & CFO,S,Sale,1814.0,124.244,225378.62
2026-06-05,2026-06-03,Kang Andrew,EVP & CFO,S,Sale,96.0,125.138,12013.25
2026-06-05,2026-06-03,Kang Andrew,EVP & CFO,S,Sale,582.0,114.793,66809.53
2026-06-05,2026-06-03,Kang Andrew,EVP & CFO,M,Option exercise,68120.0,0.0,
2026-06-05,2026-06-03,Le Phong,President & CEO,S,Sale,273.0,125.138,34162.67
2026-06-05,2026-06-03,Le Phong,President & CEO,S,Sale,3743.0,123.389,461845.03
2026-06-05,2026-06-03,Le Phong,President & CEO,S,Sale,5882.0,122.546,720815.57
2026-06-05,2026-06-03,Le Phong,President & CEO,S,Sale,1171.0,121.586,142377.21
2026-06-05,2026-06-03,Le Phong,President & CEO,S,Sale,3858.0,120.221,463812.62
2026-06-05,2026-06-03,Le Phong,President & CEO,S,Sale,16303.0,119.529,1948681.29
