filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-12,2026-06-10,Alagirisamy Venkatesh,EVP: CHIEF OPERATING OFFICER,F,Tax withholding (sale),9853.0,44.65,439936.45
2026-06-12,2026-06-10,McCartney Philip,"EVP: CHIEF INN,PROD&DSG OFCR",F,Tax withholding (sale),9836.0,44.65,439177.4
2026-06-12,2026-06-10,McCartney Philip,"EVP: CHIEF INN,PROD&DSG OFCR",S,Sale,17398.0,46.18,803439.64
2026-05-15,2026-05-14,PARKER MARK G,EXECUTIVE CHAIRMAN,G,Gift,22230.0,0.0,
2026-04-14,2026-04-13,Hill Elliott,PRESIDENT & CEO,P,Purchase,23660.235,42.265,999999.83
2026-04-14,2026-04-10,COOK TIMOTHY D,Director,P,Purchase,25000.0,42.43,1060750.0
2026-04-10,2026-04-09,ROGERS JOHN W JR,Director,P,Purchase,4000.0,43.34,173360.0
2026-04-08,2026-04-07,SWAN ROBERT HOLMES,Director,P,Purchase,11781.387,42.44,500002.06
2026-04-06,2026-04-02,Knight Travis A,Director,J,Other acquisition,2300480.0,,
2026-04-06,2026-04-02,Knight Travis A,Director,J,Other acquisition,2300480.0,,
