filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-23,2026-06-18,STEVENS MARK A,Director,S,Sale,319385.0,209.6952,66973501.45
2026-06-23,2026-06-18,STEVENS MARK A,Director,S,Sale,565615.0,210.4372,119026436.88
2026-06-23,2026-06-17,Teter Timothy S.,"EVP, General Counsel and Sec",F,Tax withholding (sale),35742.0,207.41,7413248.22
2026-06-23,2026-06-17,Shoquist Debora,"EVP, Operations",F,Tax withholding (sale),35012.0,207.41,7261838.92
2026-06-23,2026-06-17,Kress Colette,EVP & Chief Financial Officer,F,Tax withholding (sale),40746.0,207.41,8451127.86
2026-06-23,2026-06-17,Puri Ajay K,"EVP, Worldwide Field Ops",F,Tax withholding (sale),36927.0,207.41,7659029.07
2026-06-23,2026-06-17,HUANG JEN HSUN,President and CEO,F,Tax withholding (sale),45723.0,207.41,9483407.43
2026-06-18,2026-06-16,HUANG JEN HSUN,President and CEO,G,Gift,400000.0,0.0,
2026-06-10,2026-06-08,GAWEL SCOTT,Principal Accounting Officer,A,Award,45643.0,0.0,
2026-06-10,2026-06-08,GAWEL SCOTT,Principal Accounting Officer,A,Award,13866.0,0.0,
2026-06-05,2026-06-03,Neal Stephen C,Director,S,Sale,15500.0,215.7331,3343863.05
2026-06-04,2026-06-02,STEVENS MARK A,Director,S,Sale,500000.0,222.3774,111188700.0
2026-06-04,2026-06-02,STEVENS MARK A,Director,S,Sale,100000.0,217.655,21765500.0
2026-06-04,2026-06-02,STEVENS MARK A,Director,S,Sale,400000.0,220.371,88148400.0
2026-06-04,2026-06-02,STEVENS MARK A,Director,G,Gift,307500.0,0.0,
2026-05-29,2026-05-27,Dabiri John,Director,S,Sale,625.0,214.0,133750.0
