filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-17,2026-06-15,Moore Alexander D.,Director,S,Sale,900.0,130.4783,117430.47
2026-06-17,2026-06-15,Moore Alexander D.,Director,S,Sale,500.0,132.548,66274.0
2026-06-17,2026-06-15,Moore Alexander D.,Director,S,Sale,4000.0,133.8146,535258.4
2026-06-17,2026-06-15,Moore Alexander D.,Director,S,Sale,7000.0,134.4404,941082.8
2026-06-17,2026-06-15,Moore Alexander D.,Director,S,Sale,3600.0,131.5443,473559.48
2026-06-15,2026-06-11,Buckley Jeffrey,See Remarks,S,Sale,1481.0,128.8,190752.8
2026-06-08,2026-06-04,Schiff Alexandra W.,Director,A,Award,2118.0,0.0,
2026-06-08,2026-06-04,Moore Alexander D.,Director,A,Award,2118.0,0.0,
2026-06-08,2026-06-04,Stat Lauren Elaina Friedman,Director,A,Award,2118.0,0.0,
2026-06-08,2026-06-04,Woersching Eric H.,Director,A,Award,2118.0,0.0,
2026-06-02,2026-05-29,Stat Lauren Elaina Friedman,Director,S,Sale,1667.0,150.0,250050.0
2026-06-02,2026-05-29,Stat Lauren Elaina Friedman,Director,S,Sale,1598.0,160.0,255680.0
2026-05-22,2026-05-20,Sankar Shyam,See Remarks,S,Sale,11483.0,135.0886,1551222.39
2026-05-22,2026-05-20,Karp Alexander C.,See Remarks,S,Sale,27595.0,135.0886,3727769.92
2026-05-22,2026-05-20,Karp Alexander C.,See Remarks,S,Sale,224009.0,136.0811,30483391.13
2026-05-22,2026-05-20,Karp Alexander C.,See Remarks,S,Sale,122195.0,136.6143,16693584.39
2026-05-22,2026-05-20,Sankar Shyam,See Remarks,C,C,165514.0,,
2026-05-22,2026-05-20,Sankar Shyam,See Remarks,S,Sale,2761.0,132.9528,367082.68
2026-05-22,2026-05-20,Sankar Shyam,See Remarks,S,Sale,7203.0,134.2027,966662.05
2026-05-22,2026-05-20,Cohen Stephen Andrew,See Remarks,S,Sale,22196.0,135.0886,2998426.57
2026-05-22,2026-05-20,Sankar Shyam,See Remarks,S,Sale,93218.0,136.0811,12685207.98
2026-05-22,2026-05-20,Sankar Shyam,See Remarks,S,Sale,50849.0,136.6143,6946700.54
2026-05-22,2026-05-20,Cohen Stephen Andrew,See Remarks,C,C,319934.0,,
2026-05-22,2026-05-20,Cohen Stephen Andrew,See Remarks,S,Sale,5337.0,132.9528,709569.09
2026-05-22,2026-05-20,Cohen Stephen Andrew,See Remarks,S,Sale,13923.0,134.2027,1868504.19
2026-05-22,2026-05-20,Cohen Stephen Andrew,See Remarks,S,Sale,180187.0,136.0811,24520045.17
2026-05-22,2026-05-20,Cohen Stephen Andrew,See Remarks,S,Sale,98291.0,136.6143,13427956.16
2026-05-22,2026-05-20,Karp Alexander C.,See Remarks,S,Sale,17310.0,134.2027,2323048.74
2026-05-22,2026-05-20,Karp Alexander C.,See Remarks,S,Sale,6635.0,132.9528,882141.83
2026-05-22,2026-05-20,Karp Alexander C.,See Remarks,C,C,397744.0,,
2026-05-22,2026-05-20,Glazer David A.,See Remarks,S,Sale,745.0,134.2027,99981.01
2026-05-22,2026-05-20,Buckley Jeffrey,See Remarks,S,Sale,29.0,132.9528,3855.63
2026-05-22,2026-05-20,Taylor Ryan D.,See Remarks,S,Sale,6040.0,136.6143,825150.37
2026-05-22,2026-05-20,Buckley Jeffrey,See Remarks,S,Sale,119.0,135.0886,16075.54
2026-05-22,2026-05-20,Buckley Jeffrey,See Remarks,S,Sale,964.0,136.0811,131182.18
2026-05-22,2026-05-20,Buckley Jeffrey,See Remarks,S,Sale,526.0,136.6143,71859.12
2026-05-22,2026-05-20,Buckley Jeffrey,See Remarks,S,Sale,830.0,137.41,114050.3
2026-05-22,2026-05-20,Glazer David A.,See Remarks,S,Sale,286.0,132.9528,38024.5
2026-05-22,2026-05-20,Buckley Jeffrey,See Remarks,S,Sale,74.0,134.2027,9931.0
2026-05-22,2026-05-20,Glazer David A.,See Remarks,S,Sale,1188.0,135.0886,160485.26
2026-05-22,2026-05-20,Glazer David A.,See Remarks,S,Sale,5262.0,136.6143,718864.45
2026-05-22,2026-05-20,Taylor Ryan D.,See Remarks,S,Sale,328.0,132.9528,43608.52
2026-05-22,2026-05-20,Taylor Ryan D.,See Remarks,S,Sale,856.0,134.2027,114877.51
2026-05-22,2026-05-20,Taylor Ryan D.,See Remarks,S,Sale,1364.0,135.0886,184260.85
2026-05-22,2026-05-20,Taylor Ryan D.,See Remarks,S,Sale,11074.0,136.0811,1506962.1
2026-05-22,2026-05-20,Glazer David A.,See Remarks,S,Sale,9647.0,136.0811,1312774.37
2026-05-19,2026-05-15,Moore Alexander D.,Director,S,Sale,3000.0,134.9457,404837.1
2026-05-19,2026-05-15,Moore Alexander D.,Director,S,Sale,100.0,135.455,13545.5
2026-05-19,2026-05-15,Moore Alexander D.,Director,S,Sale,10800.0,133.9692,1446867.36
2026-05-19,2026-05-15,Moore Alexander D.,Director,S,Sale,2100.0,133.0538,279412.98
2026-04-28,2026-04-26,Buckley Jeffrey,See Remarks,A,Award,21141.0,0.0,
2026-04-17,2026-04-15,Moore Alexander D.,Director,S,Sale,500.0,135.704,67852.0
2026-04-17,2026-04-15,Moore Alexander D.,Director,S,Sale,1037.0,136.6768,141733.84
2026-04-17,2026-04-15,Moore Alexander D.,Director,S,Sale,3603.0,137.8116,496535.19
2026-04-17,2026-04-15,Moore Alexander D.,Director,S,Sale,2353.0,138.734,326441.1
2026-04-17,2026-04-15,Moore Alexander D.,Director,S,Sale,3353.0,139.732,468521.4
2026-04-17,2026-04-15,Moore Alexander D.,Director,S,Sale,1596.0,140.4554,224166.82
2026-04-17,2026-04-15,Moore Alexander D.,Director,S,Sale,3342.0,142.0014,474568.68
2026-04-17,2026-04-15,Moore Alexander D.,Director,S,Sale,216.0,142.414,30761.42
