filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-18,2026-06-16,Wong Jennifer L.,Chief Operating Officer,M,Option exercise,39166.0,5.35,209538.1
2026-06-18,2026-06-16,Wong Jennifer L.,Chief Operating Officer,S,Sale,9020.0,176.2,1589324.0
2026-06-18,2026-06-16,Wong Jennifer L.,Chief Operating Officer,S,Sale,11580.0,177.31,2053249.8
2026-06-18,2026-06-16,Wong Jennifer L.,Chief Operating Officer,S,Sale,7306.0,178.09,1301125.54
2026-06-18,2026-06-16,Wong Jennifer L.,Chief Operating Officer,S,Sale,2000.0,179.1,358200.0
2026-06-18,2026-06-16,Wong Jennifer L.,Chief Operating Officer,S,Sale,300.0,180.03,54009.0
2026-06-18,2026-06-16,Wong Jennifer L.,Chief Operating Officer,S,Sale,400.0,181.94,72776.0
2026-06-18,2026-06-16,Wong Jennifer L.,Chief Operating Officer,S,Sale,8560.0,175.41,1501509.6
2026-06-17,2026-06-15,Huffman Steve Ladd,CEO & President,S,Sale,1400.0,176.82,247548.0
2026-06-17,2026-06-15,Huffman Steve Ladd,CEO & President,S,Sale,3400.0,181.78,618052.0
2026-06-17,2026-06-15,Huffman Steve Ladd,CEO & President,S,Sale,1400.0,180.85,253190.0
2026-06-17,2026-06-15,Huffman Steve Ladd,CEO & President,S,Sale,3100.0,179.65,556915.0
2026-06-17,2026-06-15,Huffman Steve Ladd,CEO & President,S,Sale,3050.0,178.71,545065.5
2026-06-17,2026-06-15,Huffman Steve Ladd,CEO & President,S,Sale,2350.0,177.69,417571.5
2026-06-17,2026-06-15,Huffman Steve Ladd,CEO & President,S,Sale,500.0,173.59,86795.0
2026-06-17,2026-06-15,Huffman Steve Ladd,CEO & President,S,Sale,500.0,175.68,87840.0
2026-06-17,2026-06-15,Huffman Steve Ladd,CEO & President,S,Sale,900.0,174.43,156987.0
2026-06-17,2026-06-15,Huffman Steve Ladd,CEO & President,S,Sale,500.0,171.39,85695.0
2026-06-17,2026-06-15,Huffman Steve Ladd,CEO & President,S,Sale,500.0,170.31,85155.0
2026-06-17,2026-06-15,Huffman Steve Ladd,CEO & President,S,Sale,400.0,169.48,67792.0
2026-06-17,2026-06-15,Huffman Steve Ladd,CEO & President,M,Option exercise,18000.0,25.29,455220.0
2026-06-10,2026-06-08,Habiger David C,Director,A,Award,1714.0,0.0,
2026-06-10,2026-06-08,Sauerberg Robert A.,Director,A,Award,1714.0,0.0,
2026-06-10,2026-06-08,Newhouse Steven O,Director,A,Award,1714.0,0.0,
2026-06-10,2026-06-08,Seibel Michael,Director,A,Award,1714.0,0.0,
2026-06-10,2026-06-08,Gale Mary Porter,Director,A,Award,1714.0,0.0,
2026-06-10,2026-06-08,FARRELL SARAH E,Director,A,Award,1714.0,0.0,
2026-06-10,2026-06-08,FILIKRUSHEL PATRICIA,Director,A,Award,1714.0,0.0,
2026-06-02,2026-05-29,Huffman Steve Ladd,CEO & President,M,Option exercise,18000.0,25.29,455220.0
2026-06-02,2026-05-29,Huffman Steve Ladd,CEO & President,S,Sale,600.0,167.59,100554.0
2026-06-02,2026-05-29,Huffman Steve Ladd,CEO & President,S,Sale,1000.0,168.61,168610.0
2026-06-02,2026-05-29,Huffman Steve Ladd,CEO & President,S,Sale,800.0,169.98,135984.0
2026-06-02,2026-05-29,Huffman Steve Ladd,CEO & President,S,Sale,600.0,170.96,102576.0
