filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-22,2026-06-22,Johnson Ray O,Director,S,Sale,84944.0,20.5458,1745242.44
2026-06-10,2026-06-09,Iannotti Thomas J,Director,A,Award,9208.0,0.0,
2026-06-10,2026-06-09,Clifton Michael S.,Director,A,Award,9208.0,0.0,
2026-06-10,2026-06-09,Fitzgerald Alissa,Director,A,Award,9208.0,0.0,
2026-06-10,2026-06-08,Johnson Ray O,Director,S,Sale,116217.0,21.2782,2472888.57
2026-06-10,2026-06-08,Johnson Ray O,Director,S,Sale,5971.0,21.764,129952.84
2026-06-10,2026-06-08,Johnson Ray O,Director,A,Award,9208.0,0.0,
2026-06-01,2026-05-29,Rivas David,CHIEF TECHNOLOGY OFFICER,M,Option exercise,3541.0,0.272,963.15
2026-06-01,2026-05-29,Rivas David,CHIEF TECHNOLOGY OFFICER,S,Sale,499328.0,25.396,12680933.89
2026-06-01,2026-05-29,Rivas David,CHIEF TECHNOLOGY OFFICER,M,Option exercise,393.0,0.272,106.9
2026-06-01,2026-05-29,Rivas David,CHIEF TECHNOLOGY OFFICER,M,Option exercise,33053.0,0.272,8990.42
2026-06-01,2026-05-29,Rivas David,CHIEF TECHNOLOGY OFFICER,M,Option exercise,75131.0,0.272,20435.63
2026-06-01,2026-05-28,Kulkarni Subodh K,President and CEO,M,Option exercise,70000.0,0.9638,67466.0
2026-06-01,2026-05-28,Kulkarni Subodh K,President and CEO,M,Option exercise,111111.0,1.05,116666.55
2026-06-01,2026-05-28,Kulkarni Subodh K,President and CEO,M,Option exercise,33490.0,1.41,47220.9
2026-06-01,2026-05-28,Kulkarni Subodh K,President and CEO,S,Sale,43190.0,26.2292,1132839.15
2026-06-01,2026-05-28,Kulkarni Subodh K,President and CEO,S,Sale,61000.0,24.3781,1487064.1
2026-05-26,2026-05-22,Bertelsen Jeffrey A.,CHIEF FINANCIAL OFFICER,S,Sale,3669.0,22.937,84155.85
2026-05-26,2026-05-22,Bertelsen Jeffrey A.,CHIEF FINANCIAL OFFICER,S,Sale,13.0,25.63,333.19
2026-05-26,2026-05-22,Rivas David,CHIEF TECHNOLOGY OFFICER,S,Sale,18729.0,22.9523,429873.63
2026-05-26,2026-05-22,Rivas David,CHIEF TECHNOLOGY OFFICER,S,Sale,30.0,25.63,768.9
