filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-18,2026-06-18,Kampani Arjun,SVP & General Counsel,S,Sale,88000.0,107.98,9502240.0
2026-06-05,2026-06-03,Ricupati Agostino,VP Corp Controller & CAO,A,Award,27532.0,0.0,
2026-06-05,2026-06-03,Spice Adam C.,Chief Financial Officer,A,Award,275319.0,0.0,
2026-06-05,2026-06-02,Slusky Alexander R,Director,S,Sale,40000.0,123.6,4944000.0
2026-06-02,2026-05-29,Spice Adam C.,Chief Financial Officer,G,Gift,62724.0,0.0,
2026-06-02,2026-05-29,Spice Adam C.,Chief Financial Officer,G,Gift,62724.0,0.0,
2026-06-02,2026-05-29,Spice Adam C.,Chief Financial Officer,G,Gift,62724.0,0.0,
2026-06-02,2026-05-29,Frank Edward H.,Director,G,Gift,91373.0,0.0,
2026-06-02,2026-05-29,Frank Edward H.,Director,G,Gift,91373.0,0.0,
2026-06-01,2026-05-28,Klein Frank,Chief Operations Officer,S,Sale,1409.0,149.9896,211335.35
2026-06-01,2026-05-28,Kampani Arjun,SVP & General Counsel,S,Sale,200.0,150.26,30052.0
2026-06-01,2026-05-28,Kampani Arjun,SVP & General Counsel,S,Sale,3100.0,149.3861,463096.91
2026-06-01,2026-05-28,Kampani Arjun,SVP & General Counsel,S,Sale,6006.0,148.5174,891995.5
2026-06-01,2026-05-28,Kampani Arjun,SVP & General Counsel,S,Sale,6698.0,147.5082,988009.92
2026-06-01,2026-05-28,Kampani Arjun,SVP & General Counsel,S,Sale,4310.0,146.6229,631944.7
2026-06-01,2026-05-28,Kampani Arjun,SVP & General Counsel,S,Sale,1090.0,145.5162,158612.66
2026-06-01,2026-05-28,Kampani Arjun,SVP & General Counsel,S,Sale,1900.0,144.3295,274226.05
2026-06-01,2026-05-28,Clevenger Marvin Bradford,"President, Rocket Lab USA, Inc",S,Sale,3500.0,146.6731,513355.85
2026-06-01,2026-05-28,Kampani Arjun,SVP & General Counsel,S,Sale,500.0,143.146,71573.0
2026-06-01,2026-05-28,Klein Frank,Chief Operations Officer,S,Sale,7848.0,149.0947,1170095.21
2026-06-01,2026-05-28,Klein Frank,Chief Operations Officer,S,Sale,8694.0,148.1298,1287840.48
2026-06-01,2026-05-28,Klein Frank,Chief Operations Officer,S,Sale,9909.0,147.1321,1457931.98
2026-06-01,2026-05-28,Klein Frank,Chief Operations Officer,S,Sale,4000.0,146.271,585084.0
2026-06-01,2026-05-28,Klein Frank,Chief Operations Officer,S,Sale,1600.0,145.2306,232368.96
2026-06-01,2026-05-28,Klein Frank,Chief Operations Officer,S,Sale,2700.0,144.1495,389203.65
