filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-17,2026-06-15,KELLY SARA,"evp, chief partner officer",F,Tax withholding (sale),315.82,101.59,32084.15
2026-06-15,2026-06-11,BREWER BRADY,"ceo, International",S,Sale,588.0,100.0,58800.0
2026-06-09,2026-06-05,BREWER BRADY,"ceo, International",S,Sale,1641.0,94.33,154795.53
2026-05-07,2026-05-05,BREWER BRADY,"ceo, International",S,Sale,2229.0,104.81,233621.49
2026-04-30,2026-04-29,KELLY SARA,"evp, chief partner officer",S,Sale,2000.0,105.0,210000.0
2026-04-21,2026-04-17,BREWER BRADY,"ceo, International",S,Sale,588.0,100.0,58800.0
2026-04-08,2026-04-06,BREWER BRADY,"ceo, International",S,Sale,1641.0,90.0,147690.0
2026-03-27,2026-03-25,MAYER MARISSA A,Director,A,Award,3667.0,0.0,
2026-03-27,2026-03-25,ALLISON RICHARD E JR,Director,A,Award,3991.0,0.0,
2026-03-27,2026-03-25,Campion Andrew,Director,A,Award,4099.0,0.0,
2026-03-27,2026-03-25,FORD BETH,Director,A,Award,3937.0,0.0,
2026-03-27,2026-03-25,KNUDSTORP JORGEN VIG,Director,A,Award,4746.0,0.0,
2026-03-27,2026-03-25,SERVITJE DANIEL,Director,A,Award,3667.0,0.0,
2026-03-27,2026-03-25,Mohan Neal,Director,A,Award,3667.0,0.0,
2026-03-27,2026-03-25,Moyo Dambisa F,Director,A,Award,2265.0,0.0,
2026-03-27,2026-03-25,SIEVERT G MICHAEL,Director,A,Award,3667.0,0.0,
2026-03-27,2026-03-25,Zhang Wei,Director,A,Award,3667.0,0.0,
2026-03-26,2026-03-24,Smith Cathy R,"evp, cfo",F,Tax withholding (sale),2231.435,91.98,205247.39
