filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-01,2026-05-29,SYLVESTER CARA A,Executive Officer,S,Sale,10000.0,125.8905,1258905.0
2026-05-28,2026-05-27,Cornell Brian C,Executive Officer,S,Sale,1000.0,130.5459,130545.9
2026-05-28,2026-05-27,Cornell Brian C,Executive Officer,S,Sale,49000.0,129.8383,6362076.7
2026-04-09,2026-04-07,ROATH LISA R,Executive Officer,F,Tax withholding (sale),751.0,120.76,90690.76
2026-04-09,2026-04-07,Vemana Pratabkumar,Executive Officer,F,Tax withholding (sale),1166.0,120.76,140806.16
2026-04-09,2026-04-07,Vemana Pratabkumar,Executive Officer,A,Award,3634.0,0.0,
2026-04-09,2026-04-07,SYLVESTER CARA A,Executive Officer,F,Tax withholding (sale),1983.0,120.76,239467.08
2026-04-09,2026-04-07,SYLVESTER CARA A,Executive Officer,A,Award,5809.0,0.0,
2026-04-09,2026-04-07,Cornell Brian C,Executive Officer,F,Tax withholding (sale),21697.0,120.76,2620129.72
2026-04-09,2026-04-07,Cornell Brian C,Executive Officer,A,Award,50777.0,0.0,
2026-04-09,2026-04-07,ROATH LISA R,Executive Officer,A,Award,2443.0,0.0,
2026-04-09,2026-04-07,LIEGEL MATTHEW A,Chief Accounting Officer,F,Tax withholding (sale),411.0,120.76,49632.36
2026-04-09,2026-04-07,LIEGEL MATTHEW A,Chief Accounting Officer,A,Award,1337.0,0.0,
2026-04-09,2026-04-07,Kremer Melissa K,Executive Officer,F,Tax withholding (sale),3088.0,120.76,372906.88
2026-04-09,2026-04-07,Kremer Melissa K,Executive Officer,A,Award,7259.0,0.0,
2026-04-09,2026-04-07,FIDDELKE MICHAEL J,Executive Officer,F,Tax withholding (sale),5131.0,120.76,619619.56
2026-04-09,2026-04-07,FIDDELKE MICHAEL J,Executive Officer,A,Award,11250.0,0.0,
2026-04-03,2026-04-01,Bratspies Stephen B,Director,A,Award,1791.0,0.0,
