filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-18,2026-06-16,West Tony,See Remarks,M,Option exercise,1510.0,,
2026-06-18,2026-06-16,Krishnamurthy Balaji (A),Chief Financial Officer,F,Tax withholding (sale),245.0,73.25,17946.25
2026-06-18,2026-06-16,Krishnamurthy Balaji (A),Chief Financial Officer,F,Tax withholding (sale),333.0,73.25,24392.25
2026-06-18,2026-06-16,Hazelbaker Jill,See Remarks,M,Option exercise,351.0,,
2026-06-18,2026-06-16,Hazelbaker Jill,See Remarks,M,Option exercise,1416.0,,
2026-06-18,2026-06-16,Hazelbaker Jill,See Remarks,M,Option exercise,1888.0,,
2026-06-18,2026-06-16,Hazelbaker Jill,See Remarks,M,Option exercise,1465.0,,
2026-06-18,2026-06-16,Hazelbaker Jill,See Remarks,M,Option exercise,1494.0,,
2026-06-18,2026-06-16,Hazelbaker Jill,See Remarks,M,Option exercise,2547.0,,
2026-06-18,2026-06-16,Hazelbaker Jill,See Remarks,F,Tax withholding (sale),176.0,73.25,12892.0
2026-06-18,2026-06-16,Hazelbaker Jill,See Remarks,F,Tax withholding (sale),710.0,73.25,52007.5
2026-06-18,2026-06-16,Hazelbaker Jill,See Remarks,F,Tax withholding (sale),734.0,73.25,53765.5
2026-06-18,2026-06-16,Hazelbaker Jill,See Remarks,F,Tax withholding (sale),749.0,73.25,54864.25
2026-06-18,2026-06-16,Hazelbaker Jill,See Remarks,F,Tax withholding (sale),1315.0,73.25,96323.75
2026-06-18,2026-06-16,Ceremony Glen,See Remarks,M,Option exercise,708.0,,
2026-06-18,2026-06-16,Ceremony Glen,See Remarks,M,Option exercise,687.0,,
2026-06-18,2026-06-16,Ceremony Glen,See Remarks,M,Option exercise,700.0,,
2026-06-18,2026-06-16,Ceremony Glen,See Remarks,M,Option exercise,1516.0,,
2026-06-18,2026-06-16,Ceremony Glen,See Remarks,F,Tax withholding (sale),352.0,73.25,25784.0
2026-06-18,2026-06-16,Ceremony Glen,See Remarks,F,Tax withholding (sale),341.0,73.25,24978.25
2026-06-18,2026-06-16,Ceremony Glen,See Remarks,F,Tax withholding (sale),348.0,73.25,25491.0
2026-06-18,2026-06-16,Ceremony Glen,See Remarks,F,Tax withholding (sale),752.0,73.25,55084.0
2026-06-18,2026-06-16,West Tony,See Remarks,M,Option exercise,1282.0,,
2026-06-18,2026-06-16,Krishnamurthy Balaji (A),Chief Financial Officer,F,Tax withholding (sale),611.0,73.25,44755.75
2026-06-18,2026-06-16,Hazelbaker Jill,See Remarks,F,Tax withholding (sale),946.0,73.25,69294.5
2026-06-18,2026-06-16,Krishnamurthy Balaji (A),Chief Financial Officer,F,Tax withholding (sale),341.0,73.25,24978.25
2026-06-18,2026-06-16,Macdonald Andrew,See Remarks,F,Tax withholding (sale),1382.0,73.25,101231.5
2026-06-18,2026-06-16,West Tony,See Remarks,F,Tax withholding (sale),749.0,73.25,54864.25
2026-06-18,2026-06-16,West Tony,See Remarks,F,Tax withholding (sale),636.0,73.25,46587.0
2026-06-18,2026-06-16,West Tony,See Remarks,F,Tax withholding (sale),741.0,73.25,54278.25
2026-06-18,2026-06-16,West Tony,See Remarks,F,Tax withholding (sale),1444.0,73.25,105773.0
2026-06-18,2026-06-16,Macdonald Andrew,See Remarks,M,Option exercise,1133.0,,
2026-06-18,2026-06-16,Macdonald Andrew,See Remarks,M,Option exercise,2472.0,,
2026-06-18,2026-06-16,Macdonald Andrew,See Remarks,M,Option exercise,2520.0,,
