filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-25,2026-06-23,Walton Family Holdings Trust,0,J,Other acquisition,767000.0,0.0,
2026-06-25,2026-06-23,Walton Family Holdings Trust,0,J,Other acquisition,1703000.0,0.0,
2026-06-22,2026-06-18,Nicholas Christopher James,Executive Vice President,S,Sale,2900.0,118.1904,342752.16
2026-06-18,2026-06-16,Walton Family Holdings Trust,0,J,Other acquisition,886000.0,0.0,
2026-06-18,2026-06-16,Walton Family Holdings Trust,0,S,Sale,3860251.0,120.985,467032467.24
2026-06-18,2026-06-16,Walton Family Holdings Trust,0,S,Sale,539737.0,121.782,65730251.33
2026-06-18,2026-06-16,Walton Family Holdings Trust,0,S,Sale,24716.0,122.4183,3025690.7
2026-06-17,2026-06-16,Watkins Latriece,Executive Vice President,F,Tax withholding (sale),3667.212,120.82,443072.55
2026-06-17,2026-06-15,Bartlett Daniel J,Executive Vice President,S,Sale,1385.0,119.83,165964.55
2026-06-12,2026-06-10,Guggina David W,Executive Vice President,S,Sale,11978.0,119.82,1435203.96
2026-06-08,2026-06-04,Moritz Robert Edward Jr.,Director,A,Award,1935.0,0.0,
2026-06-08,2026-06-04,MAYER MARISSA A,Director,A,Award,1935.0,0.0,
2026-06-08,2026-06-04,HORTON THOMAS W,Director,A,Award,1935.0,0.0,
2026-06-08,2026-06-04,Penner Gregory Boyd,Director,A,Award,2881.0,0.0,
2026-06-08,2026-06-04,Friar Sarah,Director,A,Award,1935.0,0.0,
2026-06-08,2026-06-04,Conde Cesar,Director,A,Award,1935.0,0.0,
2026-06-08,2026-06-04,STEPHENSON RANDALL L,Director,A,Award,1935.0,0.0,
2026-06-08,2026-06-04,Mehrotra Shishir,Director,A,Award,1935.0,0.0,
2026-06-08,2026-06-04,Harris Carla A,Director,A,Award,1935.0,0.0,
2026-06-08,2026-06-04,Walton Steuart L,Director,A,Award,1935.0,0.0,
2026-06-04,2026-06-02,Dallaire Seth,Executive Vice President,F,Tax withholding (sale),388.415,114.6,44512.36
2026-06-04,2026-06-02,Guggina David W,Executive Vice President,F,Tax withholding (sale),118.271,114.6,13553.86
2026-06-04,2026-06-02,Watkins Latriece,Executive Vice President,F,Tax withholding (sale),228.168,114.6,26148.05
2026-06-04,2026-06-02,Milum Dwayne M,SVP & Controller,F,Tax withholding (sale),121.742,114.6,13951.63
2026-06-04,2026-06-02,Walton Family Holdings Trust,0,S,Sale,143038.0,114.1574,16328846.18
2026-06-04,2026-06-02,Walton Family Holdings Trust,0,S,Sale,1628295.0,113.2439,184394476.15
2026-05-29,2026-05-29,Bartlett Daniel J,Executive Vice President,G,Gift,424.0,0.0,
2026-05-29,2026-05-28,McMillon C Douglas,Director,S,Sale,19416.0,118.6265,2303252.12
2026-05-29,2026-05-28,Watkins Latriece,Executive Vice President,S,Sale,11000.0,118.97,1308670.0
2026-05-29,2026-05-27,Walton Family Holdings Trust,0,S,Sale,254178.0,119.054,30260907.61
