date,close_price,volume,volume_anomaly
2026-03-25,211.7100067138672,36388800,0
2026-03-26,207.5399932861328,46746000,0
2026-03-27,199.33999633789062,56009800,0
2026-03-30,200.9499969482422,46373800,0
2026-03-31,208.27000427246094,58470100,0
2026-04-01,210.57000732421875,45955400,0
2026-04-02,209.77000427246094,31453000,0
2026-04-06,212.7899932861328,25385500,0
2026-04-07,213.77000427246094,28154600,0
2026-04-08,221.25,51092700,0
2026-04-09,233.64999389648438,65964200,0
2026-04-10,238.3800048828125,56912800,0
2026-04-13,239.88999938964844,42166200,0
2026-04-14,249.02000427246094,72685000,0
2026-04-15,248.5,43045200,0
2026-04-16,249.6999969482422,41895700,0
2026-04-17,250.55999755859375,52029300,0
2026-04-20,248.27999877929688,39463100,0
2026-04-21,249.91000366210938,42922400,0
2026-04-22,255.36000061035156,36065100,0
2026-04-23,255.0800018310547,39091400,0
2026-04-24,263.989990234375,53777400,0
2026-04-27,261.1199951171875,44906800,0
2026-04-28,259.70001220703125,42204400,0
2026-04-29,263.0400085449219,72367900,1
2026-04-30,265.05999755859375,100974900,1
2026-05-01,268.260009765625,50825200,0
2026-05-04,272.04998779296875,49083700,0
2026-05-05,273.54998779296875,41908500,0
2026-05-06,274.989990234375,44552000,0
2026-05-07,271.1700134277344,35892900,0
2026-05-08,272.67999267578125,34732700,0
2026-05-11,268.989990234375,38176700,0
2026-05-12,265.82000732421875,36776200,0
2026-05-13,270.1300048828125,39670900,0
2026-05-14,267.2200012207031,31338400,0
2026-05-15,264.1400146484375,40770300,0
2026-05-18,264.8599853515625,33690800,0
2026-05-19,259.3399963378906,40340700,0
2026-05-20,265.010009765625,34933200,0
2026-05-21,268.4599914550781,36591700,0
2026-05-22,266.32000732421875,27535500,0
2026-05-26,265.2900085449219,38028100,0
2026-05-27,271.8500061035156,40061900,0
2026-05-28,274.0,40630400,0
2026-05-29,270.6400146484375,54749600,0
2026-06-01,261.260009765625,53604400,0
2026-06-02,256.5199890136719,41811000,0
2026-06-03,250.02000427246094,51394200,0
2026-06-04,253.7899932861328,35609800,0
2026-06-05,246.02999877929688,55607800,0
2026-06-08,245.22000122070312,33899500,0
2026-06-09,244.19000244140625,44425400,0
2026-06-10,238.0,38590200,0
2026-06-11,241.50999450683594,41335400,0
2026-06-12,238.5500030517578,51186600,0
2026-06-15,246.02000427246094,41711600,0
2026-06-16,246.0,35187400,0
2026-06-17,237.5,44780800,0
2026-06-18,244.38999938964844,75624400,1
2026-06-22,232.7899932861328,68388500,1
