date,close_price,volume,volume_anomaly
2026-03-30,535.8833618164062,22795200,0
2026-03-31,571.6002197265625,32898300,0
2026-04-01,578.6936645507812,23608100,0
2026-04-02,573.9281005859375,13518500,0
2026-04-06,572.4894409179688,9515700,0
2026-04-07,574.5175170898438,9580800,0
2026-04-08,611.8529052734375,32036600,0
2026-04-09,627.8081665039062,19012900,0
2026-04-10,629.2767333984375,13294800,0
2026-04-13,633.9425048828125,9538900,0
2026-04-14,661.8765258789062,17818000,0
2026-04-15,670.9581909179688,14952600,0
2026-04-16,676.2432250976562,9544800,0
2026-04-17,687.9124145507812,16283500,0
2026-04-20,670.2887573242188,12534000,0
2026-04-21,668.220703125,8660100,0
2026-04-22,674.09521484375,9215600,0
2026-04-23,658.5396728515625,11667000,0
2026-04-24,674.4049682617188,13348300,0
2026-04-27,677.9916381835938,12805200,0
2026-04-28,670.7183837890625,10606800,0
2026-04-29,668.5004272460938,18947500,0
2026-04-30,611.3433837890625,52765000,1
2026-05-01,608.1863403320312,21404000,0
2026-05-04,609.8447875976562,16203900,0
2026-05-05,604.3998413085938,17171300,0
2026-05-06,612.3125,19915500,0
2026-05-07,616.2388305664062,12307400,0
2026-05-08,609.0654907226562,13557000,0
2026-05-11,598.3054809570312,15940600,0
2026-05-12,602.441650390625,11351600,0
2026-05-13,616.0590209960938,14634400,0
2026-05-14,617.8573608398438,10651200,0
2026-05-15,613.6612548828125,13272600,0
2026-05-18,610.64404296875,13772400,0
2026-05-19,602.052001953125,11749900,0
2026-05-20,604.499755859375,11329700,0
2026-05-21,606.8175659179688,13476100,0
2026-05-22,609.6949462890625,11688600,0
2026-05-26,611.7730102539062,12234200,0
2026-05-27,634.6718139648438,23143600,0
2026-05-28,634.7017211914062,16772400,0
2026-05-29,631.92431640625,19806500,0
2026-06-01,599.9139404296875,29138800,0
2026-06-02,597.0765991210938,18252000,0
2026-06-03,622.4031372070312,23020100,0
2026-06-04,626.9888916015625,21469200,0
2026-06-05,592.450927734375,30091600,0
2026-06-08,584.8479614257812,19512400,0
2026-06-09,584.0487060546875,16977400,0
2026-06-10,570.4512939453125,17064000,0
2026-06-11,567.9036254882812,17628000,0
2026-06-12,566.4549560546875,14326400,0
2026-06-15,593.47998046875,17653300,0
2026-06-16,600.2100219726562,11344400,0
2026-06-17,567.5800170898438,20478300,0
2026-06-18,577.219970703125,28824600,1
2026-06-22,563.8499755859375,15405500,0
2026-06-23,562.2000122070312,13103300,0
2026-06-24,557.6699829101562,13963600,0
2026-06-25,542.8699951171875,16968600,0
