date,close_price,volume,volume_anomaly
2026-03-30,12.979999542236328,23230100,0
2026-03-31,14.430000305175781,25031400,0
2026-04-01,13.699999809265137,21754600,0
2026-04-02,14.319999694824219,17185500,0
2026-04-06,14.140000343322754,14269900,0
2026-04-07,13.739999771118164,16030900,0
2026-04-08,14.569999694824219,21807900,0
2026-04-09,13.869999885559082,17762400,0
2026-04-10,14.25,13796000,0
2026-04-13,14.649999618530273,16392500,0
2026-04-14,16.969999313354492,43679500,1
2026-04-15,20.809999465942383,98957500,1
2026-04-16,21.520000457763672,90113700,1
2026-04-17,21.690000534057617,46076200,0
2026-04-20,21.65999984741211,39241800,0
2026-04-21,20.360000610351562,37186700,0
2026-04-22,21.239999771118164,33929200,0
2026-04-23,19.309999465942383,29505600,0
2026-04-24,18.489999771118164,23877500,0
2026-04-27,18.799999237060547,19625300,0
2026-04-28,18.110000610351562,15993400,0
2026-04-29,18.270000457763672,18971000,0
2026-04-30,20.280000686645508,29793500,0
2026-05-01,20.489999771118164,20364100,0
2026-05-04,20.920000076293945,24790300,0
2026-05-05,21.540000915527344,19394800,0
2026-05-06,23.829999923706055,39634300,0
2026-05-07,21.989999771118164,25873000,0
2026-05-08,22.56999969482422,20169000,0
2026-05-11,24.030000686645508,36127100,0
2026-05-12,22.350000381469727,46895200,0
2026-05-13,21.440000534057617,25576500,0
2026-05-14,22.1299991607666,28148900,0
2026-05-15,20.350000381469727,23761800,0
2026-05-18,19.059999465942383,24639800,0
2026-05-19,18.190000534057617,21512900,0
2026-05-20,19.299999237060547,21855400,0
2026-05-21,25.739999771118164,119132500,1
2026-05-22,29.399999618530273,141703200,1
2026-05-26,27.81999969482422,54691500,0
2026-05-27,27.479999542236328,34015400,0
2026-05-28,29.489999771118164,54482200,0
2026-05-29,30.139999389648438,36381200,0
2026-06-01,29.18000030517578,49079000,0
2026-06-02,29.90999984741211,48442500,0
2026-06-03,27.549999237060547,42311000,0
2026-06-04,27.639999389648438,39223000,0
2026-06-05,23.850000381469727,34320000,0
2026-06-08,25.829999923706055,29009500,0
2026-06-09,23.520000457763672,37886900,0
2026-06-10,23.25,20856500,0
2026-06-11,23.81999969482422,25165300,0
2026-06-12,23.3700008392334,27862100,0
2026-06-15,26.260000228881836,44959900,0
2026-06-16,23.940000534057617,29431600,0
2026-06-17,22.920000076293945,27645800,0
2026-06-18,24.690000534057617,31044300,0
2026-06-22,24.469999313354492,29576400,0
2026-06-23,25.030000686645508,48963000,0
2026-06-24,22.979999542236328,32009700,0
2026-06-25,21.90999984741211,20652900,0
