date,trends_amc,trends_amc_entertainment
2026-03-25,32,0
2026-03-26,33,0
2026-03-27,43,0
2026-03-28,57,0
2026-03-29,47,0
2026-03-30,37,0
2026-03-31,44,0
2026-04-01,56,0
2026-04-02,52,0
2026-04-03,67,0
2026-04-04,76,0
2026-04-05,65,0
2026-04-06,48,0
2026-04-07,44,0
2026-04-08,36,0
2026-04-09,35,0
2026-04-10,48,0
2026-04-11,63,0
2026-04-12,49,0
2026-04-13,28,0
2026-04-14,28,0
2026-04-15,29,0
2026-04-16,32,0
2026-04-17,44,0
2026-04-18,56,0
2026-04-19,47,0
2026-04-20,30,0
2026-04-21,34,0
2026-04-22,38,0
2026-04-23,41,0
2026-04-24,59,0
2026-04-25,76,0
2026-04-26,69,0
2026-04-27,38,0
2026-04-28,43,0
2026-04-29,37,0
2026-04-30,44,0
2026-05-01,62,0
2026-05-02,89,0
2026-05-03,69,0
2026-05-04,40,0
2026-05-05,42,0
2026-05-06,40,0
2026-05-07,41,0
2026-05-08,56,0
2026-05-09,74,0
2026-05-10,64,0
2026-05-11,36,0
2026-05-12,38,0
2026-05-13,35,0
2026-05-14,38,0
2026-05-15,51,0
2026-05-16,61,0
2026-05-17,56,0
2026-05-18,43,0
2026-05-19,43,0
2026-05-20,44,0
2026-05-21,48,0
2026-05-22,67,0
2026-05-23,86,0
2026-05-24,91,0
2026-05-25,77,0
2026-05-26,62,0
2026-05-27,57,0
2026-05-28,66,0
2026-05-29,89,0
2026-05-30,100,0
2026-05-31,79,0
2026-06-01,63,0
2026-06-02,64,0
2026-06-03,59,0
2026-06-04,98,0
2026-06-05,85,0
2026-06-06,98,0
2026-06-07,90,0
2026-06-08,57,0
2026-06-09,58,0
2026-06-10,56,0
2026-06-11,51,0
2026-06-12,62,0
2026-06-13,67,0
2026-06-14,59,0
2026-06-15,49,0
2026-06-16,53,0
2026-06-17,63,0
2026-06-18,65,0
2026-06-19,86,0
2026-06-20,86,0
2026-06-21,77,0
2026-06-22,54,0
2026-06-23,0,0
