date,trends_ba,trends_boeing
2026-03-25,82,61
2026-03-26,100,57
2026-03-27,78,59
2026-03-28,72,46
2026-03-29,78,50
2026-03-30,79,60
2026-03-31,86,64
2026-04-01,86,74
2026-04-02,93,66
2026-04-03,88,56
2026-04-04,76,48
2026-04-05,74,47
2026-04-06,75,59
2026-04-07,77,79
2026-04-08,86,70
2026-04-09,82,66
2026-04-10,79,56
2026-04-11,79,55
2026-04-12,70,49
2026-04-13,77,59
2026-04-14,83,59
2026-04-15,86,62
2026-04-16,81,64
2026-04-17,97,66
2026-04-18,91,51
2026-04-19,82,53
2026-04-20,79,59
2026-04-21,77,65
2026-04-22,87,73
2026-04-23,79,65
2026-04-24,82,60
2026-04-25,71,51
2026-04-26,76,47
2026-04-27,77,61
2026-04-28,76,69
2026-04-29,78,61
2026-04-30,80,61
2026-05-01,79,56
2026-05-02,83,49
2026-05-03,91,47
2026-05-04,84,61
2026-05-05,82,62
2026-05-06,82,64
2026-05-07,85,64
2026-05-08,84,62
2026-05-09,79,60
2026-05-10,84,59
2026-05-11,82,65
2026-05-12,82,70
2026-05-13,81,73
2026-05-14,90,89
2026-05-15,89,96
2026-05-16,86,68
2026-05-17,79,56
2026-05-18,81,68
2026-05-19,80,63
2026-05-20,91,69
2026-05-21,86,63
2026-05-22,83,64
2026-05-23,82,54
2026-05-24,79,47
2026-05-25,83,55
2026-05-26,91,59
2026-05-27,80,64
2026-05-28,86,75
2026-05-29,84,73
2026-05-30,78,51
2026-05-31,92,54
2026-06-01,78,63
2026-06-02,85,69
2026-06-03,79,56
2026-06-04,85,65
2026-06-05,82,67
2026-06-06,86,56
2026-06-07,87,58
2026-06-08,86,67
2026-06-09,71,58
2026-06-10,71,60
2026-06-11,72,51
2026-06-12,68,51
2026-06-13,64,40
2026-06-14,68,38
2026-06-15,74,55
2026-06-16,73,60
2026-06-17,73,56
2026-06-18,79,60
2026-06-19,67,54
2026-06-20,72,43
2026-06-21,73,41
2026-06-22,90,53
2026-06-23,0,0
